,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,0.89,1.2,1.17,0.94,0.98,1.41,1.03,0.93,1.13,1.22,0.86,0.98,1.33,1.09
f_1,1.35,1.0,1.08,0.95,0.95,0.8,0.75,0.89,1.08,0.99,0.87,0.9,1.06,0.85,0.85,1.01
d_1,1.12,0.93,1.0,0.97,0.87,1.05,1.1,0.98,0.81,1.35,1.11,0.89,1.02,1.09,1.04,0.82
c_1,0.83,1.05,1.04,1.0,1.3,1.04,1.04,0.74,0.94,0.79,0.93,0.9,0.95,1.09,1.04,1.13
b_1,0.85,1.06,1.15,0.77,1.0,1.35,1.01,1.09,1.16,1.04,0.62,1.1,0.92,1.15,1.01,0.75
a_1,1.06,1.24,0.95,0.96,0.74,1.0,1.09,0.87,1.2,1.06,1.21,1.13,0.78,0.93,0.9,1.02
h_1,1.0,1.35,0.9,0.93,0.99,0.87,1.0,0.88,1.01,0.81,0.83,0.85,0.96,0.87,0.94,1.15
d_0,0.72,1.11,0.94,1.41,0.97,1.16,1.13,1.0,1.04,0.84,1.01,0.91,1.07,1.08,0.92,1.17
g_1,0.96,0.95,1.23,1.13,0.84,0.84,0.99,0.94,1.0,1.03,0.91,1.2,1.02,0.94,1.01,1.16
c_0,1.06,1.06,0.77,1.19,0.9,0.91,1.25,1.15,1.01,1.0,1.53,1.14,1.04,1.11,1.08,1.25
b_0,0.87,1.22,0.93,1.05,,0.86,1.2,0.94,1.06,0.66,1.0,1.08,1.6,1.02,0.86,0.99
f_0,0.75,1.11,1.17,1.18,0.91,0.87,1.13,1.07,0.88,0.95,0.9,1.0,1.15,0.99,1.49,0.88
a_0,1.1,0.96,0.97,1.0,1.14,,1.03,0.94,1.0,0.97,0.58,0.91,1.0,1.04,0.97,0.95
h_0,1.0,1.15,0.94,0.95,0.88,0.98,1.12,0.97,1.05,0.89,0.97,0.92,1.0,1.0,0.89,1.3
e_0,0.83,1.19,0.92,0.93,0.94,1.12,1.03,1.1,1.06,0.99,1.21,0.69,0.95,1.21,1.0,1.16
g_0,0.9,1.06,1.21,0.86,1.23,0.98,0.9,0.84,0.87,0.82,1.01,1.14,1.02,0.78,0.9,1.0
