,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.77,0.94,1.21,0.98,1.05,1.07,1.44,1.1,0.94,0.88,0.94,1.04,1.56,1.04,1.18
f_1,1.3,1.0,0.96,1.03,1.08,0.88,0.83,0.9,0.99,0.86,0.98,0.73,0.84,0.81,0.95,0.99
d_1,1.07,1.05,1.0,0.86,1.0,0.85,1.02,1.12,0.79,1.26,1.05,1.11,0.98,1.12,0.93,0.71
c_1,0.83,0.97,1.16,1.0,1.4,1.11,1.03,0.6,1.03,0.77,1.05,1.14,1.04,0.83,0.99,0.97
b_1,1.03,0.93,1.0,0.72,1.0,1.63,0.97,1.02,1.04,0.88,1.05,1.12,1.38,0.95,1.07,1.0
a_1,0.96,1.14,1.17,0.9,0.61,1.0,1.06,1.2,0.94,1.36,1.21,0.9,1.16,1.21,,1.49
h_1,0.91,1.23,0.98,0.99,1.01,0.88,1.0,1.08,1.27,0.88,0.96,0.79,0.8,0.79,0.89,1.02
d_0,0.7,1.11,0.81,1.65,1.02,0.83,0.98,1.0,1.12,1.05,0.96,1.05,0.86,0.85,1.04,0.96
g_1,0.92,1.0,1.23,0.97,0.95,1.03,0.78,0.9,1.0,0.92,0.94,1.14,0.85,1.1,0.98,0.83
c_0,1.09,1.2,0.8,1.38,1.07,0.7,1.19,0.94,1.04,1.0,1.38,0.97,0.98,1.05,1.07,1.07
b_0,1.11,1.02,0.93,1.01,0.91,0.77,1.01,1.01,1.12,0.77,1.0,0.94,1.03,1.07,1.36,1.13
f_0,1.06,1.35,0.86,0.93,0.9,1.06,1.23,0.91,0.91,1.1,1.1,1.0,1.09,1.34,0.93,0.94
h_0,0.97,1.2,1.02,0.98,0.75,0.89,1.29,1.06,1.19,0.96,1.04,0.95,1.0,1.09,0.84,1.33
e_0,0.7,1.32,0.9,1.36,0.97,0.82,1.3,1.05,0.9,1.03,0.88,0.76,0.95,1.0,0.87,0.97
a_0,0.88,1.09,1.09,1.1,0.9,,1.19,0.95,1.04,0.89,0.71,1.0,1.1,1.22,1.0,1.18
g_0,0.81,1.04,1.26,1.09,0.98,0.72,0.99,0.99,,0.92,0.9,1.12,0.78,0.96,0.88,1.0
