,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.78,0.97,1.1,0.98,0.81,0.76,0.73,0.71,0.85,0.66,0.65,0.59,0.61,0.54,0.59
f_1,1.28,1.0,0.93,1.04,0.84,0.8,0.58,0.66,0.56,0.61,0.56,0.59,0.55,0.47,0.44,0.56
d_1,1.04,1.07,1.0,0.83,0.94,0.88,0.76,0.59,0.8,0.65,0.6,0.7,0.58,0.55,0.64,0.48
c_1,0.91,0.98,1.19,1.0,1.3,0.88,0.75,0.67,0.52,0.48,0.63,0.5,0.6,0.63,0.61,0.57
b_1,1.01,1.2,1.09,0.78,1.0,1.32,0.78,0.75,0.76,0.63,0.73,0.63,0.57,0.68,0.55,0.61
a_1,1.24,1.25,1.15,1.13,0.73,1.0,0.9,0.92,0.79,0.96,0.79,0.87,0.78,0.78,0.85,0.75
h_1,1.36,1.68,1.31,1.35,1.28,1.14,1.0,1.19,0.85,0.92,0.82,0.9,0.75,0.87,0.79,0.91
g_1,1.37,1.54,1.71,1.48,1.36,1.05,0.84,1.0,0.96,0.86,1.1,0.9,0.79,0.8,0.85,0.86
c_0,1.49,1.76,1.25,1.85,1.29,1.21,1.14,1.03,1.0,1.14,0.94,1.36,1.05,1.01,1.04,0.92
d_0,1.17,1.53,1.56,2.11,1.6,1.01,1.08,1.13,0.88,1.0,0.87,0.92,0.98,1.05,0.99,0.83
f_0,1.42,1.91,1.58,1.63,1.42,1.27,1.21,0.9,1.08,1.09,1.0,0.98,0.96,0.96,1.27,0.77
b_0,1.56,1.75,1.36,2.01,1.54,1.19,1.05,1.12,0.75,1.06,1.03,1.0,1.29,1.04,0.87,0.95
a_0,1.63,1.82,1.7,1.71,1.79,1.27,1.34,1.29,0.99,1.03,1.08,0.73,1.0,1.07,0.81,0.9
h_0,1.66,2.11,1.81,1.55,1.45,1.3,1.15,1.25,1.01,0.96,1.01,0.96,0.96,1.0,0.88,1.14
e_0,1.8,2.19,1.64,1.68,1.71,1.17,1.25,1.18,1.05,1.03,0.8,1.12,1.13,1.05,1.0,0.94
g_0,1.7,1.82,2.06,1.75,1.64,1.44,1.07,1.13,1.06,1.12,1.36,1.08,1.1,0.88,1.01,1.0
