,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.39,1.28,1.15,1.05,1.26,1.13,2.75,4.22,2.32,2.26,3.33,2.82,3.5,2.95,3.31,3.48
f_1,1.13,2.45,1.93,1.17,1.01,1.13,2.3,2.26,2.11,2.84,2.57,1.48,2.94,2.49,3.01,2.18
e_1,1.21,1.09,2.49,1.43,1.33,1.24,2.23,2.44,2.18,4.16,2.79,3.04,3.47,2.76,3.26,1.85
c_1,1.35,1.15,1.1,2.71,2.12,1.07,1.74,1.55,2.11,2.22,1.73,2.37,3.15,2.3,3.01,2.98
b_1,1.29,1.28,1.11,0.9,2.81,2.23,2.56,2.68,2.33,2.24,2.22,3.0,3.28,2.49,3.42,2.79
a_1,1.28,1.47,1.19,1.42,0.89,3.3,2.52,2.61,2.63,2.55,3.12,3.03,3.76,1.89,3.84,2.21
h_1,1.27,1.64,1.38,1.68,1.05,1.16,4.05,2.79,3.48,2.61,2.71,3.12,2.91,3.01,4.21,3.08
c_0,1.24,1.46,1.35,1.27,1.17,1.38,2.81,3.97,3.04,3.26,5.06,2.9,3.89,4.05,4.01,3.26
g_1,1.84,1.33,1.19,1.41,1.23,1.14,2.38,2.58,4.4,2.28,2.71,3.9,3.43,2.87,3.22,3.15
d_0,1.0,1.38,1.2,2.3,1.52,1.2,2.55,2.27,2.78,3.98,3.07,2.75,3.73,2.69,3.2,2.63
b_0,1.23,1.53,1.28,1.71,1.1,1.23,2.88,2.37,2.83,2.68,4.24,3.48,3.8,5.41,3.8,3.4
f_0,1.5,1.29,1.03,1.62,1.4,1.23,2.6,3.1,2.85,2.99,2.74,4.46,3.7,3.9,3.46,5.75
h_0,1.4,1.77,1.34,1.45,1.28,1.15,2.13,2.75,3.11,2.86,2.84,3.01,2.97,2.97,4.5,2.98
a_0,1.52,1.48,1.36,1.61,1.26,1.0,3.24,2.62,2.74,3.09,2.39,2.85,4.08,4.92,3.98,3.28
g_0,1.95,1.24,1.18,1.45,1.19,1.1,2.43,2.95,2.44,2.58,2.77,4.41,3.29,3.1,3.24,3.53
e_0,1.33,1.71,1.05,1.37,1.34,1.58,3.06,3.2,3.21,3.22,2.84,2.44,3.85,2.9,3.1,5.01
