,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.33,1.43,0.84,0.83,0.67,0.5,1.41,1.65,1.27,1.6,0.93,1.52,1.21,2.18,0.96,1.81
e_1,0.91,2.32,0.65,1.05,0.76,0.61,1.58,3.09,1.33,1.57,1.64,1.58,1.53,2.06,0.98,1.77
d_1,0.99,0.93,2.44,0.59,0.62,0.7,1.71,1.16,1.3,3.22,1.77,1.95,1.5,2.12,1.56,2.0
c_1,0.79,0.69,0.81,2.48,1.41,0.66,1.38,1.8,1.34,0.85,1.68,1.14,1.36,1.91,1.55,1.89
b_1,0.87,0.76,0.82,0.75,2.6,1.32,1.41,1.56,1.18,1.35,1.76,0.92,1.19,2.08,1.53,1.89
a_1,0.98,0.94,0.87,0.81,0.72,3.12,1.65,1.8,1.38,1.72,1.72,1.84,1.09,2.12,1.33,1.68
h_1,1.21,0.9,1.0,0.9,0.77,0.56,3.27,1.61,1.98,1.88,1.81,1.65,1.6,1.76,1.47,2.87
d_0,1.0,0.78,0.66,1.69,0.93,0.54,1.76,2.89,1.37,1.26,1.48,1.79,1.53,2.33,1.66,2.23
g_1,0.81,0.82,1.54,0.87,0.7,0.6,1.63,1.65,3.66,1.88,2.43,1.83,1.81,2.17,1.77,1.64
c_0,1.17,0.92,1.04,0.61,0.65,0.61,2.0,1.65,1.77,3.1,1.96,3.39,2.39,2.46,1.83,2.36
f_0,0.66,0.82,1.06,1.06,0.92,0.7,1.89,1.89,1.75,1.95,3.24,2.16,2.16,2.37,3.65,2.16
b_0,1.06,0.96,1.11,0.91,0.65,0.49,1.81,1.7,1.52,1.99,1.76,3.37,3.77,2.34,1.63,2.02
a_0,1.02,0.95,1.08,0.85,0.84,0.38,2.05,1.86,1.58,2.18,1.98,1.96,3.39,2.45,1.82,2.44
h_0,1.34,0.85,1.07,1.02,0.76,0.67,1.17,1.71,1.91,1.69,1.61,1.68,1.48,1.62,1.58,2.68
e_0,0.89,0.59,1.01,1.11,1.06,0.7,1.77,1.67,1.76,1.92,1.86,1.87,1.97,2.73,3.47,2.34
g_0,0.82,0.8,1.42,0.92,0.71,0.64,1.86,1.65,1.08,1.9,3.2,1.79,1.6,2.22,2.24,1.72
