,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,10.89,1.55,0.75,0.6,0.52,0.55,0.85,0.95,0.79,0.84,0.91,0.51,0.87,0.66,1.0,0.73
e_1,0.78,11.31,0.79,0.5,0.59,0.57,0.93,2.37,1.07,0.91,1.11,1.1,1.08,0.59,1.12,0.93
c_1,0.57,0.58,12.86,0.7,1.67,0.74,0.85,0.71,0.88,0.35,0.61,0.84,0.77,0.9,0.74,0.94
d_1,0.68,0.64,0.45,18.45,0.56,0.52,1.1,0.48,0.92,2.93,1.3,0.97,1.02,1.09,1.11,1.06
b_1,0.56,0.52,0.62,0.72,14.97,1.9,0.72,0.83,0.72,0.88,0.5,1.01,1.08,1.12,0.67,0.97
a_1,0.75,0.57,0.62,0.76,0.57,21.25,0.99,0.85,0.9,0.78,1.08,1.14,1.31,1.16,0.74,1.21
h_1,1.18,0.66,0.74,0.8,0.73,0.59,3.74,0.89,1.41,1.07,1.0,1.15,0.66,1.31,0.94,1.46
d_0,0.9,0.58,2.22,0.49,0.76,0.54,1.18,2.24,1.17,0.64,1.03,0.9,1.16,1.17,1.15,1.09
g_1,0.71,0.48,0.71,1.75,0.76,0.67,1.12,0.74,4.88,1.17,1.07,2.07,1.01,1.28,1.01,0.88
c_0,0.96,0.76,0.56,0.89,0.44,0.66,1.17,0.96,1.18,2.66,3.47,1.26,1.09,1.1,1.57,1.04
b_0,1.08,0.78,0.78,0.92,0.51,0.51,1.26,1.17,1.18,1.07,2.93,1.14,1.12,1.22,3.08,1.21
f_0,0.53,0.48,0.99,0.9,0.8,0.83,1.14,1.16,1.21,0.99,1.27,3.2,1.25,3.32,0.82,1.34
h_0,1.15,0.65,0.89,0.78,0.84,0.64,0.75,0.87,1.42,1.06,1.12,0.97,0.72,1.2,0.9,1.63
e_0,0.92,0.4,1.09,0.79,0.84,0.88,1.59,0.8,1.07,1.05,0.91,1.29,1.22,3.51,1.0,1.29
a_0,0.86,0.75,0.9,0.66,0.79,0.48,1.17,1.13,1.37,1.01,1.19,1.19,1.45,1.31,3.62,1.31
g_0,0.51,0.56,0.81,1.49,0.81,0.66,1.13,0.92,0.84,1.09,1.22,2.41,1.09,1.45,1.04,0.89
