,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.74,2.84,1.39,1.6,1.28,1.27,5.22,5.16,6.42,6.77,7.28,3.1,10.77,4.19,6.91,9.15
e_1,1.67,5.99,1.38,1.9,1.23,1.42,5.71,5.72,5.94,14.22,8.8,8.78,11.16,4.72,7.48,11.48
d_1,1.56,1.31,6.12,1.23,1.79,1.58,5.46,5.23,14.24,3.16,8.07,7.97,10.6,8.84,7.4,11.36
c_1,1.54,1.39,1.43,7.18,2.83,1.51,5.23,5.38,2.67,7.05,5.94,6.33,10.07,6.35,6.54,9.98
b_1,1.77,1.27,1.76,1.29,7.36,2.71,5.28,5.11,6.28,6.89,3.66,7.72,10.75,6.85,5.93,9.36
a_1,1.81,1.14,1.65,1.65,1.49,11.78,6.81,4.83,8.67,6.63,7.65,5.97,10.74,10.43,4.61,10.74
h_1,2.55,1.67,1.8,1.98,1.88,1.77,16.31,7.82,7.15,7.38,7.76,8.91,8.11,7.26,10.21,19.99
g_1,1.5,1.52,2.95,1.76,1.72,1.82,6.83,19.42,7.19,7.28,9.53,14.16,12.68,8.49,9.1,8.87
c_0,2.07,2.12,1.95,1.27,1.34,1.8,6.85,7.39,16.16,9.41,18.81,10.71,15.62,11.1,12.32,15.08
d_0,1.89,1.86,1.14,3.84,1.72,1.42,6.87,6.88,4.85,16.91,8.42,8.15,13.93,9.88,8.49,13.98
b_0,1.9,1.99,1.79,2.22,1.19,1.56,7.72,7.8,8.11,9.78,17.81,9.75,16.49,10.72,23.38,15.45
f_0,1.11,1.35,2.33,2.3,1.98,1.79,6.61,7.22,9.84,9.31,10.45,18.51,16.89,20.31,11.04,14.56
h_0,2.44,2.17,2.0,2.34,1.36,1.58,4.33,9.2,9.49,8.86,9.05,8.65,8.51,7.39,10.09,17.43
e_0,2.42,1.21,2.05,1.79,1.83,2.23,8.1,6.79,9.0,7.19,9.79,7.11,17.59,25.76,12.09,16.19
a_0,1.93,1.7,2.15,1.92,1.79,1.03,7.99,7.76,11.17,7.97,9.85,10.07,15.68,11.14,24.56,19.15
g_0,1.41,1.74,3.0,2.05,1.56,1.74,5.71,5.53,9.61,7.6,10.64,14.18,15.98,11.35,11.14,8.0
