,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.0,1.39,1.5,1.78,2.4,15.33,23.73,30.77,38.47,46.71,50.71,74.12,97.27,93.52,115.03
d_1,1.0,1.0,0.94,1.22,1.45,2.45,17.53,22.68,37.56,42.53,42.2,50.62,66.9,93.09,85.69,92.6
e_1,0.72,1.07,1.0,1.34,1.52,2.18,15.91,29.46,29.52,46.41,41.17,47.68,71.67,77.57,101.85,81.2
c_1,0.67,0.82,0.75,1.0,1.44,2.33,11.25,18.94,20.39,19.1,26.77,33.68,49.22,64.77,70.26,77.0
b_1,0.56,0.69,0.66,0.69,1.0,2.34,10.49,16.7,16.82,21.67,31.03,26.33,49.75,50.64,56.69,67.31
a_1,0.42,0.41,0.46,0.43,0.43,1.0,6.77,10.92,10.25,12.41,24.2,15.99,27.54,40.33,36.88,27.14
h_1,0.07,0.06,0.06,0.09,0.09,0.15,1.0,1.87,1.87,2.0,2.8,2.71,3.91,5.11,6.39,6.14
g_1,0.04,0.04,0.03,0.05,0.06,0.09,0.53,1.0,0.99,0.97,1.58,1.92,2.48,3.49,2.88,3.3
c_0,0.03,0.03,0.03,0.05,0.06,0.1,0.56,1.01,1.0,1.25,2.22,1.74,2.55,3.29,3.01,3.55
d_0,0.03,0.02,0.02,0.05,0.05,0.08,0.52,1.08,0.73,1.0,1.43,1.45,2.17,2.53,2.81,3.66
b_0,0.02,0.02,0.02,0.04,0.03,0.05,0.36,0.59,0.42,0.69,1.0,0.99,1.71,3.34,2.26,2.34
f_0,0.02,0.02,0.02,0.03,0.04,0.07,0.36,0.51,0.58,0.69,0.97,1.0,1.58,1.73,1.84,3.08
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.41,0.37,0.48,0.57,0.61,1.0,1.15,1.67,1.32
a_0,0.01,0.01,0.01,0.02,0.02,0.02,0.18,0.29,0.3,0.44,0.31,0.56,0.9,1.0,1.15,1.0
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.33,0.32,0.38,0.45,0.55,0.61,0.88,1.0,1.03
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.32,0.27,0.28,0.43,0.34,0.78,1.11,0.96,1.0
