,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,0.88,1.09,1.0,0.84,0.67,0.92,0.72,0.6,0.69,0.76,0.53,0.59,0.59,0.63
f_1,1.24,1.0,0.95,1.01,0.83,0.7,0.58,0.65,0.72,0.6,0.56,0.53,0.61,0.52,0.46,0.54
d_1,1.13,1.06,1.0,0.9,0.87,0.83,0.79,0.66,0.56,0.84,0.71,0.59,0.64,0.56,0.58,0.48
c_1,0.92,0.99,1.14,1.0,1.27,0.84,0.74,0.47,0.63,0.54,0.51,0.6,0.56,0.6,0.55,0.59
b_1,0.99,1.2,1.14,0.79,1.0,1.27,0.76,0.68,0.71,0.77,0.63,0.61,0.55,0.65,0.66,0.53
a_1,1.2,1.36,1.2,1.19,0.81,1.0,0.98,0.71,0.83,0.81,0.87,0.74,0.63,0.78,0.62,0.7
h_1,1.47,1.72,1.31,1.32,1.3,1.03,1.0,0.87,1.02,0.82,0.81,0.77,0.8,0.85,0.79,0.91
d_0,1.11,1.51,1.52,2.11,1.51,1.35,1.09,1.0,1.09,0.78,0.94,0.9,0.96,0.95,0.92,0.85
g_1,1.36,1.44,1.8,1.61,1.38,1.17,1.02,0.89,1.0,0.98,0.89,1.14,1.03,0.75,0.96,0.89
c_0,1.63,1.72,1.22,1.91,1.25,1.21,1.24,1.22,1.01,1.0,1.34,1.0,1.07,0.92,0.91,0.92
b_0,1.49,1.75,1.39,1.9,1.6,1.1,1.28,1.02,1.1,0.75,1.0,0.93,1.39,1.01,0.9,0.95
f_0,1.32,1.99,1.71,1.66,1.65,1.24,1.28,1.08,0.9,0.98,1.08,1.0,0.95,0.97,1.32,0.81
a_0,1.86,1.69,1.54,1.72,1.8,1.53,1.29,1.1,1.01,0.94,0.73,1.05,1.0,1.02,1.01,0.95
h_0,1.71,1.93,1.8,1.64,1.54,1.32,1.16,1.07,1.31,1.07,1.01,1.0,0.99,1.0,0.87,1.11
e_0,1.81,2.25,1.68,1.8,1.49,1.61,1.16,1.11,0.99,1.16,1.16,0.77,0.99,1.15,1.0,0.95
g_0,1.62,1.84,2.16,1.66,1.89,1.44,1.11,1.15,1.13,1.14,1.08,1.27,1.05,0.92,1.12,1.0
