,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.68,1.25,1.42,1.8,3.54,17.04,29.67,38.8,38.44,48.64,39.76,69.47,89.36,,145.12
f_1,1.48,1.0,1.61,1.44,1.54,2.9,15.66,24.44,29.76,28.92,,36.49,63.95,89.15,72.82,133.83
d_1,0.8,0.62,1.0,1.28,1.21,2.93,12.01,13.06,,48.99,25.27,29.73,53.18,68.9,64.66,59.16
c_1,0.7,0.7,0.78,1.0,1.55,2.9,13.81,17.92,16.68,,26.99,28.26,55.59,,68.54,71.6
b_1,0.56,0.65,0.83,0.65,1.0,3.41,8.81,22.37,12.66,32.15,27.9,,37.36,50.61,50.57,76.83
a_1,0.28,0.34,0.34,0.34,0.29,1.0,4.55,7.0,7.72,9.95,,14.36,25.57,,25.25,46.44
h_1,0.06,0.06,0.08,0.07,0.11,0.22,1.0,1.86,1.61,1.77,2.17,2.26,,5.71,5.0,8.76
g_1,0.03,0.04,0.08,0.06,0.04,0.14,0.54,1.0,0.95,1.17,1.95,1.63,2.13,3.75,2.84,
d_0,0.03,0.03,,0.06,0.08,0.13,0.62,1.05,1.0,1.11,1.29,1.56,2.57,3.85,4.0,4.22
c_0,0.03,0.03,0.02,,0.03,0.1,0.56,0.86,0.9,1.0,1.07,1.8,1.77,2.71,2.53,2.95
f_0,0.02,,0.04,0.04,0.04,,0.46,0.51,0.77,0.93,1.0,1.23,2.42,1.76,4.1,2.02
b_0,0.03,0.03,0.03,0.04,,0.07,0.44,0.61,0.64,0.55,0.82,1.0,1.57,3.36,2.34,3.06
h_0,0.01,0.02,0.02,0.02,0.03,0.04,,0.47,0.39,0.56,0.41,0.64,,1.1,1.67,2.04
a_0,0.01,0.01,0.01,,0.02,,0.17,0.27,0.26,0.37,0.57,0.3,0.91,1.0,,1.59
e_0,,0.01,0.02,0.01,0.02,0.04,0.2,0.35,0.25,0.4,0.24,0.43,0.6,,1.0,1.28
g_0,0.01,0.01,0.02,0.01,0.01,0.02,0.11,,0.24,0.34,0.5,0.33,0.49,0.63,0.78,
