,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,6.25,2.99,2.33,3.48,2.97,2.76,10.28,10.1,21.96,13.15,13.75,14.29,19.68,11.35,19.89,16.28
f_1,4.67,6.43,2.61,2.65,2.9,2.2,9.82,9.07,13.51,13.39,9.94,13.82,19.57,8.84,16.13,14.5
d_1,2.83,3.14,6.65,2.21,2.56,2.71,11.95,10.89,10.5,22.95,14.3,17.08,20.51,15.35,23.97,16.63
c_1,2.27,2.77,2.79,6.62,4.6,3.33,9.45,10.35,12.41,8.71,12.25,9.68,19.51,12.84,17.17,13.5
b_1,2.65,2.93,2.73,2.97,7.29,5.42,10.05,10.13,13.07,11.56,11.28,8.99,20.77,13.61,19.77,10.84
a_1,2.95,3.06,2.88,2.68,2.99,10.57,11.95,10.33,13.05,13.87,14.32,14.49,20.88,16.0,21.15,10.19
h_1,2.79,3.95,3.26,2.96,2.57,2.73,19.37,13.37,12.32,14.61,14.19,15.04,18.27,13.51,26.75,15.06
g_1,2.41,2.68,4.25,3.27,2.78,2.86,10.63,21.26,10.92,14.98,21.29,16.58,23.45,16.91,20.62,16.34
d_0,2.7,2.78,2.13,5.27,3.37,3.08,10.49,11.18,20.48,10.33,15.05,11.97,19.82,13.3,20.29,14.16
c_0,3.12,3.18,3.5,2.65,2.25,3.03,12.28,13.2,15.65,21.53,17.2,26.1,24.21,14.79,22.1,21.18
f_0,2.06,2.57,3.7,3.29,2.95,3.68,12.27,11.52,13.5,14.92,22.29,15.5,19.23,32.17,23.99,18.61
b_0,2.99,3.31,3.31,3.17,2.33,2.66,11.73,13.65,14.46,13.98,16.77,23.5,25.23,15.99,21.94,31.72
h_0,2.96,3.96,3.37,3.05,2.83,2.79,9.97,15.12,13.51,11.97,14.32,14.11,17.32,13.98,26.61,16.7
e_0,2.12,2.92,3.3,3.58,3.0,3.69,13.43,13.92,14.09,14.19,13.55,16.1,24.17,31.89,23.13,15.98
g_0,2.63,2.76,4.36,3.05,2.8,3.03,12.06,10.83,12.55,16.9,21.61,15.27,20.08,18.67,21.43,14.51
a_0,3.05,3.27,3.49,3.06,2.9,2.54,12.18,14.64,12.58,13.36,13.61,15.56,25.28,17.35,22.22,31.31
