,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,16.15,1.06,0.58,0.52,0.46,0.38,0.76,0.82,0.82,0.87,0.79,0.32,1.08,0.96,0.9,0.65
e_1,0.61,16.48,0.46,0.62,0.48,0.55,0.8,2.16,0.88,0.83,1.12,1.11,1.0,0.79,1.09,0.58
d_1,0.7,0.48,19.18,0.35,0.5,0.49,0.87,0.24,0.9,2.29,1.09,0.96,0.96,1.29,0.91,1.02
c_1,0.49,0.46,0.52,19.21,1.22,0.47,0.78,0.7,0.81,0.24,0.65,1.14,0.82,0.98,0.86,0.87
b_1,0.47,0.46,0.46,0.62,21.15,1.36,0.84,0.97,0.78,0.77,0.32,0.83,0.7,0.61,0.92,0.86
a_1,0.58,0.53,0.56,0.58,0.4,33.48,1.39,0.99,0.95,0.78,1.24,0.78,1.18,0.41,0.79,1.03
h_1,0.97,0.62,0.82,0.75,0.56,0.55,5.67,0.84,1.57,0.87,1.1,0.95,0.59,0.85,1.7,1.24
d_0,0.58,0.54,0.23,1.95,0.77,0.76,1.33,3.44,0.83,0.8,1.13,1.25,1.03,0.86,1.39,1.81
g_1,0.56,0.62,1.46,0.51,0.63,0.42,1.02,0.99,7.15,1.34,1.06,2.2,1.38,1.33,0.51,1.15
c_0,0.75,0.74,0.74,0.43,0.52,0.81,1.13,1.06,1.16,3.51,3.15,1.64,1.54,1.2,1.38,1.32
b_0,0.73,0.76,0.91,0.77,0.3,0.52,1.19,1.09,1.07,1.27,3.63,1.07,1.65,2.83,1.21,1.4
f_0,0.3,0.45,0.93,0.95,0.76,0.72,1.28,1.36,1.25,1.32,1.5,4.21,1.43,1.61,1.14,3.95
h_0,1.1,0.67,0.9,0.65,0.66,0.62,0.57,1.14,1.56,1.12,1.36,1.1,0.63,1.17,1.72,1.13
a_0,0.56,0.82,0.85,0.76,0.75,0.38,1.36,0.99,1.09,1.02,1.29,1.35,1.29,4.61,1.86,1.0
g_0,0.63,0.5,1.4,0.83,0.56,0.61,1.2,1.02,0.58,1.0,1.39,2.19,1.04,1.24,0.75,1.28
e_0,0.65,0.29,0.65,0.99,0.83,0.75,1.1,1.31,1.15,1.2,1.77,1.52,2.04,0.99,1.53,5.38
