,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.93,0.69,1.16,1.02,0.81,0.74,0.76,0.86,0.58,0.66,0.76,0.71,0.68,0.64,0.64
d_1,1.06,1.0,1.09,0.84,0.92,0.84,0.7,0.58,0.62,0.8,0.69,0.6,0.59,0.57,0.59,0.43
f_1,1.44,0.92,1.0,0.99,0.79,0.73,0.58,0.68,0.71,0.61,0.59,0.48,0.43,0.46,0.53,0.6
c_1,0.87,1.19,1.01,1.0,1.45,0.82,0.73,0.69,0.49,0.54,0.53,0.62,0.66,0.51,0.53,0.5
b_1,0.97,1.08,1.29,0.7,1.0,1.47,0.76,0.77,0.7,0.81,0.74,0.65,0.68,0.67,0.45,0.63
a_1,1.23,1.2,1.36,1.22,0.68,1.0,0.89,0.81,0.71,0.8,0.86,0.76,0.68,0.68,0.79,0.69
h_1,1.38,1.46,1.64,1.39,1.35,1.12,1.0,1.18,0.88,0.9,0.83,0.9,0.92,0.9,0.82,0.9
g_1,1.32,1.72,1.5,1.38,1.4,1.22,0.85,1.0,0.93,0.94,0.95,1.16,0.7,0.84,0.8,0.79
d_0,1.14,1.71,1.4,2.01,1.45,1.38,1.17,1.08,1.0,0.93,0.77,0.92,0.9,0.85,0.74,0.92
c_0,1.64,1.22,1.67,1.86,1.26,1.22,1.1,1.11,1.13,1.0,1.32,1.0,0.97,0.98,1.03,0.9
b_0,1.58,1.42,1.65,1.75,1.26,1.18,1.21,1.08,1.26,0.79,1.0,1.06,0.99,0.91,1.22,0.93
f_0,1.29,1.68,2.05,1.63,1.52,1.38,1.11,0.86,1.08,0.99,0.98,1.0,1.01,1.37,0.79,0.8
h_0,1.45,1.67,2.31,1.55,1.49,1.38,1.12,1.46,1.1,1.01,1.06,0.99,1.0,0.95,0.8,1.0
e_0,1.38,1.81,2.29,1.9,1.68,1.4,1.16,1.28,1.19,1.07,1.08,0.75,1.05,1.0,0.99,0.92
a_0,1.58,1.69,1.81,2.19,2.23,1.08,1.34,1.22,1.38,0.9,0.82,1.21,1.18,0.96,1.0,1.01
g_0,1.55,2.22,1.68,1.98,1.66,1.43,1.13,1.26,1.12,1.16,1.12,1.27,1.02,1.06,0.91,1.01
