,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,0.87,1.18,1.41,1.46,1.15,0.62,0.57,0.48,0.68,0.48,0.6,0.44,0.47,0.84,0.41
f_1,1.38,0.66,1.22,1.42,1.15,0.99,0.46,0.47,0.44,0.65,0.48,0.63,0.29,0.37,0.42,0.47
d_1,1.68,1.45,0.64,1.28,1.32,1.16,0.55,0.63,0.5,0.38,0.46,0.44,0.4,0.44,0.38,0.27
c_1,1.17,1.33,1.82,0.63,1.49,1.24,0.66,0.33,0.7,0.6,0.5,0.44,0.39,0.41,0.49,0.4
b_1,1.37,1.79,1.45,0.87,0.61,1.82,0.7,0.56,0.69,0.82,0.91,0.59,0.45,0.61,0.45,0.39
a_1,1.73,1.88,1.66,1.72,0.91,0.58,0.91,0.68,0.53,0.65,0.6,0.55,0.49,1.07,0.56,0.58
h_1,2.1,2.02,1.93,2.11,1.92,1.64,0.57,0.78,0.68,0.93,0.73,0.71,0.65,0.59,0.52,0.62
d_0,1.42,2.09,3.3,2.3,2.26,1.76,1.05,0.63,0.82,1.05,0.76,0.82,0.65,0.77,0.78,0.78
c_0,2.41,2.38,1.38,3.64,2.0,2.29,1.0,1.0,0.61,0.96,0.86,0.73,0.6,0.8,0.71,0.59
g_1,2.0,2.28,2.42,2.45,1.78,2.64,0.79,0.81,0.75,0.53,0.79,0.78,0.48,0.64,0.69,0.7
b_0,2.08,2.33,2.09,2.58,2.53,2.06,1.0,0.88,0.56,1.04,0.6,0.79,0.67,0.93,0.68,0.66
f_0,2.14,3.4,2.28,2.47,2.11,2.26,1.01,0.84,0.89,0.71,0.74,0.57,0.72,0.64,0.81,0.45
h_0,2.34,3.13,2.45,2.72,2.43,2.24,1.43,0.92,0.98,1.3,0.87,0.8,0.97,0.8,0.84,0.75
a_0,2.46,2.97,2.64,3.07,3.12,3.2,1.13,1.01,0.9,1.56,0.58,1.05,0.86,0.56,0.8,0.64
e_0,3.11,3.97,2.76,2.53,2.31,2.27,1.55,1.07,1.04,0.99,1.05,0.57,0.78,0.94,0.55,0.72
g_0,2.92,2.66,2.85,2.7,2.83,2.32,1.04,1.0,1.03,1.54,0.98,1.07,0.69,0.9,0.96,0.97
