,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.77,0.08,0.08,0.07,0.06,0.07,0.25,0.7,0.35,0.24,0.36,0.4,0.4,0.59,,0.51
f_1,0.16,5.99,0.1,0.05,0.08,0.07,0.25,0.47,0.34,0.21,0.36,,0.45,0.76,,
c_1,0.08,0.09,6.27,0.07,0.15,0.05,0.34,0.33,,0.36,0.36,0.25,0.29,0.52,0.57,0.63
d_1,0.07,0.11,0.06,6.51,0.06,0.07,0.36,,0.72,0.35,0.34,0.38,0.32,0.66,,0.53
b_1,0.08,0.05,0.07,0.07,7.13,0.15,0.42,0.54,0.4,0.23,,0.38,0.35,0.53,,0.46
a_1,0.07,0.09,0.06,0.09,0.07,10.76,0.35,0.27,0.42,0.22,0.38,0.38,,0.67,0.47,0.46
h_1,0.24,0.34,0.21,0.39,0.34,0.4,14.25,0.94,1.17,1.62,1.06,1.79,1.36,,1.09,3.34
d_0,0.43,0.33,0.74,,0.41,0.34,1.41,10.76,1.93,1.18,2.13,1.6,1.9,3.57,1.75,2.75
c_0,0.39,0.41,,0.38,0.37,0.49,0.92,1.69,11.7,1.62,3.09,2.08,2.18,2.59,2.06,3.57
g_1,0.22,0.16,0.26,0.56,0.27,0.2,1.19,1.48,1.52,17.91,1.7,1.87,0.94,2.02,1.26,
b_0,0.33,0.35,0.29,0.38,,0.44,1.5,2.01,1.84,1.64,13.93,1.61,3.11,2.5,2.63,3.52
f_0,0.38,,0.46,0.35,0.27,0.25,1.69,2.02,2.02,1.29,1.68,14.83,2.27,2.44,4.57,2.66
a_0,0.37,0.43,0.29,0.38,0.31,,1.64,2.37,2.01,1.8,1.75,2.07,19.51,2.4,,2.3
h_0,0.51,0.92,0.6,0.5,0.61,0.46,,2.19,2.76,1.85,3.0,3.18,2.82,,3.3,6.73
e_0,,0.35,0.47,0.38,0.44,,1.26,2.43,1.86,1.47,1.79,2.16,,3.64,24.08,2.61
g_0,0.41,0.49,0.54,0.88,0.58,0.46,2.02,2.75,3.25,,3.14,3.86,,5.46,2.4,
