,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.22,0.91,1.06,1.01,1.05,1.28,0.89,1.0,1.06,1.14,1.03,1.01,1.13,1.19
f_1,1.21,1.0,1.01,0.95,0.94,0.82,0.81,1.07,0.89,0.94,0.96,0.87,0.86,1.0,0.86,1.01
c_1,0.82,0.99,1.0,1.19,1.3,0.97,1.04,0.74,0.89,0.81,0.95,0.94,0.99,0.88,1.02,0.98
d_1,1.11,1.03,0.83,1.0,0.96,1.02,0.99,0.98,1.26,1.11,0.86,1.03,0.99,0.97,0.91,0.84
b_1,0.94,1.06,0.79,1.03,1.0,1.49,1.1,0.98,1.11,1.11,1.03,1.05,1.05,1.0,1.01,0.91
a_1,0.99,1.18,1.01,0.98,0.71,1.0,1.13,1.02,1.15,1.26,1.11,0.99,1.25,1.16,1.06,1.15
h_1,0.96,1.2,0.95,1.02,0.94,0.86,1.0,0.91,0.99,0.98,1.12,1.03,0.95,0.95,1.02,1.1
d_0,0.78,0.95,1.35,1.04,1.05,0.96,1.11,1.0,0.81,0.94,1.18,0.98,1.04,0.95,1.12,1.16
c_0,1.09,1.06,1.13,0.81,0.87,0.88,0.97,1.21,1.0,1.24,1.06,1.06,1.12,1.09,0.96,0.94
b_0,0.98,1.07,1.3,0.88,0.95,0.77,1.05,1.05,0.82,1.0,1.1,0.98,1.04,1.42,1.04,1.11
g_1,0.96,1.05,1.04,1.12,1.0,0.85,0.94,0.9,0.93,0.93,1.0,1.09,0.83,0.98,0.97,0.97
f_0,0.87,1.12,1.06,1.01,0.97,0.97,1.03,1.01,0.96,0.99,0.94,1.0,1.06,0.93,1.43,0.81
h_0,0.96,1.15,1.02,1.03,0.91,0.79,1.08,0.92,0.91,1.02,1.16,0.92,1.0,1.04,0.9,1.12
a_0,1.0,0.99,1.18,1.0,0.93,0.82,1.11,1.06,0.87,0.7,1.05,1.0,0.96,1.0,1.07,1.05
e_0,0.93,1.12,0.98,1.09,0.97,0.93,0.96,0.93,1.05,1.02,1.09,0.73,1.13,1.02,1.0,0.98
g_0,0.89,0.98,1.0,1.18,1.02,0.86,0.92,0.91,0.99,0.9,1.03,1.22,0.89,0.98,1.0,1.0
