,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.92,1.23,2.01,2.44,3.13,22.43,29.4,35.21,47.27,39.35,53.77,77.0,78.5,100.11,121.07
f_1,1.08,1.0,1.01,1.62,1.92,2.98,16.13,23.28,29.87,31.4,33.49,39.49,60.56,64.06,64.7,93.51
d_1,0.81,0.99,1.0,1.24,1.8,2.76,17.37,31.1,22.84,29.57,32.51,37.83,62.22,66.44,85.96,77.31
c_1,0.51,0.63,0.8,1.0,1.71,2.04,12.01,15.97,21.26,15.11,21.67,26.57,44.09,39.32,54.92,59.65
b_1,0.41,0.51,0.56,0.6,1.0,2.07,9.07,13.09,14.16,13.93,16.19,19.51,33.53,29.65,40.44,48.31
a_1,0.31,0.34,0.36,0.49,0.48,1.0,7.06,9.0,10.68,10.04,15.05,15.33,24.94,29.96,30.54,33.06
h_1,0.04,0.06,0.06,0.08,0.11,0.14,1.0,1.31,1.81,1.68,1.82,2.26,3.8,3.76,4.52,5.97
c_0,0.03,0.04,0.03,0.06,0.08,0.11,0.77,1.0,1.17,1.37,1.77,1.58,2.79,2.99,3.28,3.75
g_1,0.03,0.03,0.04,0.05,0.07,0.09,0.55,0.85,1.0,0.93,1.13,1.53,1.99,2.43,2.82,3.0
d_0,0.02,0.03,0.03,0.07,0.08,0.09,0.61,0.73,1.06,1.0,1.16,1.29,2.17,2.21,2.84,3.19
b_0,0.03,0.03,0.03,0.05,0.06,0.07,0.56,0.58,0.84,0.82,1.0,1.16,1.83,2.95,2.44,2.59
f_0,0.02,0.02,0.03,0.04,0.05,0.07,0.44,0.61,0.63,0.78,0.83,1.0,1.72,1.82,2.79,2.0
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.26,0.35,0.51,0.45,0.55,0.59,1.0,0.99,1.16,1.55
a_0,0.01,0.02,0.01,0.03,0.03,0.03,0.27,0.35,0.43,0.44,0.36,0.56,1.01,1.0,1.14,1.29
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.31,0.36,0.35,0.42,0.37,0.84,0.85,1.0,1.1
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.17,0.26,0.34,0.3,0.4,0.53,0.65,0.74,0.89,1.0
