,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,1.03,1.02,0.81,0.93,0.84,0.66,0.73,0.77,0.63,0.59,0.71,0.55,,0.44
f_1,1.38,1.0,0.85,1.18,1.01,0.9,0.55,0.72,0.75,0.55,0.67,,0.57,0.5,0.47,0.51
d_1,0.97,1.18,1.0,0.85,0.98,0.75,0.74,0.53,,0.92,0.7,0.55,0.59,0.56,0.62,0.54
c_1,0.98,0.85,1.18,1.0,1.53,0.81,0.81,0.75,0.56,,0.6,0.57,0.65,0.47,0.58,0.57
b_1,1.24,0.99,1.02,0.66,1.0,1.12,0.81,0.86,0.74,0.57,,0.74,0.51,0.74,0.52,0.73
a_1,1.07,1.11,1.33,1.24,0.89,1.0,0.87,0.95,0.68,0.94,0.85,0.57,,0.8,0.57,
h_1,1.19,1.83,1.35,1.24,1.24,1.14,1.0,1.0,1.02,0.92,0.96,0.94,0.86,,0.71,0.85
g_1,1.51,1.4,1.87,1.33,1.16,1.05,1.0,1.0,1.04,0.95,0.81,1.45,0.76,0.9,0.78,
d_0,1.38,1.33,,1.79,1.35,1.47,0.98,0.96,1.0,1.11,0.9,0.75,1.04,1.04,0.78,0.92
c_0,1.3,1.82,1.08,,1.75,1.06,1.09,1.05,0.9,1.0,1.29,0.93,0.88,0.96,1.11,0.95
b_0,1.59,1.49,1.43,1.66,,1.18,1.04,1.24,1.11,0.78,1.0,1.09,1.13,0.93,0.93,0.72
f_0,1.71,,1.83,1.76,1.34,1.76,1.07,0.69,1.33,1.07,0.92,1.0,0.98,1.2,1.15,0.65
a_0,1.4,1.75,1.7,1.53,1.98,,1.17,1.32,0.96,1.14,0.88,1.02,1.0,1.05,,0.97
h_0,1.83,2.02,1.78,2.12,1.35,1.25,,1.11,0.96,1.04,1.07,0.83,0.95,,0.84,1.05
e_0,,2.11,1.6,1.71,1.94,1.76,1.41,1.28,1.29,0.9,1.07,0.87,,1.18,1.0,0.85
g_0,2.29,1.98,1.85,1.74,1.36,,1.17,,1.08,1.05,1.39,1.55,1.03,0.95,1.18,
