,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.43,1.28,2.04,3.04,25.29,41.77,28.49,32.84,39.81,52.6,74.1,89.88,116.18,133.07
f_1,1.21,1.0,0.93,1.15,1.46,3.43,15.37,25.47,26.44,23.14,36.11,37.86,63.31,61.37,67.16,119.46
c_1,0.7,1.08,1.0,1.16,1.94,3.25,22.46,16.29,27.7,24.35,26.32,39.67,58.6,80.95,75.82,99.44
d_1,0.78,0.87,0.86,1.0,1.29,2.39,17.46,22.93,18.6,31.55,30.87,31.47,49.66,78.29,74.65,78.02
b_1,0.49,0.69,0.52,0.78,1.0,3.01,12.87,16.36,18.82,21.61,30.9,26.9,47.73,53.22,64.35,98.87
a_1,0.33,0.29,0.31,0.42,0.33,1.0,8.11,9.36,9.22,8.79,12.47,10.87,22.08,,27.68,32.68
h_1,0.04,0.07,0.05,0.05,0.08,0.12,1.0,1.31,1.78,1.1,1.63,1.99,2.99,4.38,4.79,6.08
d_0,0.02,0.04,0.06,0.05,0.06,0.11,0.74,1.0,1.28,0.91,1.46,1.36,2.28,3.05,4.04,5.41
g_1,0.03,0.04,0.04,0.06,0.05,0.1,0.57,0.8,1.0,1.07,1.42,1.74,2.21,2.54,3.91,6.47
c_0,0.03,0.05,0.04,0.03,0.05,0.11,0.91,1.12,0.99,1.01,1.99,1.6,2.49,2.99,4.45,5.44
b_0,0.02,0.03,0.04,0.03,0.03,0.08,0.61,0.74,0.76,0.53,1.0,1.13,1.9,3.17,2.95,3.71
f_0,0.02,0.02,0.03,0.03,0.03,0.09,0.51,0.71,0.57,0.68,0.83,1.0,1.69,2.1,3.39,2.37
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.32,0.44,0.45,0.41,0.53,0.6,1.0,1.38,1.35,2.26
a_0,0.01,0.02,0.01,0.01,0.02,,0.24,0.31,0.4,0.33,0.32,0.48,0.71,1.0,1.17,1.17
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.25,0.28,0.2,0.36,0.28,0.78,0.75,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.19,,0.2,0.28,0.43,0.43,0.83,0.91,1.0
