,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.34,0.55,0.65,0.46,0.51,0.44,1.08,0.55,0.91,2.12,1.36,1.3,1.5,1.15,1.08,1.52
e_1,0.48,2.33,0.62,0.73,0.5,0.5,1.04,2.24,0.92,1.02,1.08,1.26,1.64,1.03,0.52,1.23
f_1,0.6,1.03,2.37,0.55,0.38,0.44,0.93,1.12,0.89,1.15,0.49,1.02,1.21,0.95,0.61,1.01
c_1,0.56,0.58,0.59,2.42,0.92,0.33,0.95,1.24,0.76,0.48,1.09,0.76,1.54,0.86,0.86,1.51
b_1,0.59,0.52,0.51,0.59,2.64,0.87,1.06,1.02,0.8,1.05,1.07,0.54,1.24,0.65,1.06,1.54
a_1,0.62,0.58,0.49,0.54,0.58,3.02,1.13,1.43,1.11,1.29,1.42,1.25,1.61,0.42,1.29,1.29
h_1,0.74,0.64,1.04,0.71,0.56,0.44,3.08,1.37,1.54,1.24,1.16,1.26,1.13,1.28,1.15,1.9
d_0,0.47,0.66,0.71,1.37,0.7,0.55,1.22,2.5,0.97,0.96,1.31,1.25,1.6,0.89,1.02,1.51
g_1,1.18,0.63,0.58,0.61,0.6,0.48,0.92,1.47,3.44,1.28,2.18,1.46,1.96,1.4,1.39,0.9
c_0,0.79,0.68,0.85,0.46,0.45,0.47,1.45,1.63,1.17,2.78,1.44,3.05,1.95,1.43,1.47,1.96
f_0,0.81,0.59,0.51,0.81,0.7,0.53,1.21,1.58,1.37,1.36,2.85,1.48,1.96,1.28,2.54,1.6
b_0,0.85,0.69,0.89,0.81,0.28,0.34,1.27,1.61,1.11,1.23,1.54,2.86,2.24,2.67,1.38,1.47
h_0,0.83,0.67,1.09,0.66,0.56,0.47,0.76,1.42,1.38,1.22,1.31,1.41,1.3,1.06,1.2,2.01
a_0,0.91,0.68,0.86,0.68,0.52,0.28,1.52,1.49,1.07,1.59,1.87,1.35,2.0,3.04,1.47,1.71
e_0,0.98,0.33,0.78,0.75,0.61,0.55,1.53,1.62,1.15,1.47,1.42,1.43,2.12,1.58,3.16,1.81
g_0,1.25,0.57,0.69,0.62,0.55,0.51,1.2,1.19,0.89,1.35,2.37,1.56,1.89,1.26,1.2,1.3
