,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.24,0.91,1.03,0.86,0.84,0.6,0.61,0.65,0.64,0.56,0.54,0.47,0.42,0.53,0.43
e_1,0.81,1.0,1.0,1.07,0.74,0.72,0.78,0.74,0.64,0.9,0.69,0.73,0.62,0.7,0.58,0.51
d_1,1.1,1.0,1.0,0.9,0.82,0.78,0.78,0.59,0.92,0.74,0.63,0.65,0.63,0.58,0.45,0.58
c_1,0.97,0.94,1.11,1.0,1.36,0.86,0.74,0.68,0.55,0.48,0.6,0.69,0.65,0.64,0.53,0.58
b_1,1.16,1.35,1.22,0.74,1.0,1.27,0.64,0.81,0.61,0.64,0.74,0.64,0.7,0.62,0.78,0.53
a_1,1.19,1.39,1.27,1.16,0.79,1.0,0.87,0.61,0.66,0.71,0.96,0.74,0.86,1.11,0.65,0.76
h_1,1.67,1.24,1.28,1.4,1.45,1.14,1.0,1.11,0.78,0.96,0.85,0.88,0.92,0.67,0.97,0.79
g_1,1.63,1.38,1.67,1.48,1.24,1.43,0.9,1.0,0.89,0.91,1.02,0.95,0.79,0.86,0.67,0.96
c_0,1.55,1.67,1.08,1.67,1.74,1.55,1.28,1.13,1.0,0.86,1.37,0.96,0.92,0.84,0.94,0.94
d_0,1.54,1.02,1.33,2.25,1.48,1.39,1.13,1.15,1.15,1.0,0.91,0.91,0.83,0.72,0.92,0.85
b_0,1.84,1.42,1.47,1.78,1.79,0.94,1.16,1.02,0.71,1.12,1.0,0.86,0.88,1.59,0.96,0.81
f_0,2.1,1.33,1.57,1.41,1.76,1.34,1.19,1.03,1.04,1.04,1.13,1.0,0.96,0.91,0.72,1.27
h_0,2.3,1.58,1.66,1.61,1.4,1.23,1.11,1.28,1.09,1.19,1.15,1.03,1.0,0.97,1.23,0.87
a_0,2.21,1.33,1.69,1.69,1.85,,1.52,1.14,1.17,1.32,0.65,1.05,1.02,1.0,1.03,1.06
g_0,1.89,1.64,2.26,1.92,1.38,1.46,1.02,1.36,1.02,1.04,1.03,1.43,0.81,0.99,1.0,0.88
e_0,2.23,1.9,1.65,1.73,1.97,1.5,1.24,1.02,1.05,1.17,1.22,0.72,1.13,0.93,1.21,1.0
