,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,9543.56,152.62,201.47,295.21,387.87,2383.07,246247.69,324344.65,868134.37,907190.81,909670.86,1704961.59,3348508.26,5106398.76,,11698417.37
f_1,245.02,11481.91,169.48,278.45,480.32,1739.93,211058.81,266896.05,663692.56,572933.75,943821.47,,3350137.82,5739610.2,4656228.02,17849405.88
d_1,110.1,160.46,17607.63,227.5,424.25,1197.11,217819.4,379236.14,,1471175.46,971047.39,2294114.23,2297851.67,5450933.29,7608510.73,24889025.55
c_1,135.67,112.93,263.09,21679.95,914.17,1664.21,233415.88,408587.21,699988.72,,565782.78,1817871.77,3664215.69,4346101.97,7177423.59,18651783.47
b_1,161.56,151.61,210.79,223.9,40451.95,3770.22,221523.32,477751.6,609925.49,394889.43,,2167548.07,2554210.96,6627102.79,4706919.38,22046155.64
a_1,128.13,119.05,171.89,251.51,518.41,285421.04,158430.69,419272.19,510851.58,894957.41,947259.8,2242627.08,,7836172.31,6957080.74,
h_1,410.36,970.88,805.79,872.52,1458.8,5145.39,9986414.35,1905874.32,2595360.05,2476285.79,3399421.07,8373847.83,11261975.06,,27312167.17,80233079.45
g_1,444.84,368.86,1386.44,906.46,1430.36,5962.35,973605.86,20864308.31,2216006.0,2562014.75,2494802.61,15187930.86,9942924.26,17689854.95,28317203.67,
d_0,750.56,627.77,,2150.93,1867.27,10732.91,976449.4,1545504.32,19109944.63,4142341.36,4609111.35,10770305.54,13220406.7,32929337.41,31892944.68,114109268.55
c_0,549.82,805.68,1077.58,,1602.18,7706.05,903606.91,1692580.39,2659503.52,24794866.97,8530549.31,12759283.57,17402056.41,28071030.88,42913673.61,124167261.8
b_0,668.04,716.38,999.13,943.84,,8097.67,916785.58,1847004.34,3633056.2,4101239.61,33537982.39,13904287.88,26332449.42,26027286.59,37252005.06,54716329.59
f_0,501.66,,1345.96,1192.02,1449.74,14999.41,827032.24,1209525.12,4235383.25,4113227.16,4099012.07,100971614.4,18475723.66,28488113.55,71808648.74,79734737.34
a_0,468.14,859.11,818.08,1288.02,2610.84,,938320.81,2053757.42,1906869.97,4444493.77,5061867.26,13553236.83,141742279.94,34334280.37,,109131347.43
h_0,1045.27,1685.92,1834.04,2491.65,2701.49,16007.89,,2221662.46,4077700.19,5109796.08,6328798.73,11920260.03,26853951.12,,47064241.28,208011687.45
e_0,,721.64,996.4,1295.95,1907.97,13459.34,1360546.91,2274039.05,3406386.8,2806907.06,4367067.36,15682239.84,,31724449.23,381281457.18,97941197.8
g_0,909.06,1219.12,2192.79,1748.29,2222.94,,1394927.72,,4329502.87,5606176.27,5387273.01,27887398.26,24080026.5,45361842.34,68342024.32,
