,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10532.49,890.93,1428.92,2266.51,3352.68,11149.47,1377075.33,6899857.33,2646571.25,4930400.85,10548116.02,14381706.68,50994798.99,51299896.92,27313158.43,80227043.52
d_1,1011.51,13574.87,1621.79,1559.81,3275.64,13775.32,1249701.78,1065443.77,2938657.19,9043827.11,9410519.54,15438860.63,47472286.43,44800635.32,69286930.12,114836234.64
f_1,1762.62,1351.17,15042.79,1912.9,3304.71,13260.6,1166106.02,3684387.16,2360620.3,4577101.2,11687408.3,2037572.63,56873189.36,53783725.8,49486182.35,85392346.81
c_1,971.64,1354.61,1429.23,21161.7,6723.63,13904.78,1273176.44,3957975.47,2499145.89,605422.71,8172222.22,9956036.26,43210226.82,43701461.75,54701663.83,118141601.64
b_1,941.24,1453.23,1638.7,1588.75,42551.5,30439.37,1231537.86,3400832.83,3296403.13,4550860.85,2284935.26,11587173.67,52995910.11,26507416.05,59486251.78,80934207.07
a_1,1355.95,1377.93,1509.18,2375.09,2857.15,269823.4,1072692.4,2573780.33,2923196.43,4789924.78,8690038.97,9502612.47,54887655.74,8361025.52,55958723.27,89019170.71
h_1,1659.57,2617.7,3430.9,3188.94,5599.39,24528.96,8331345.22,5252885.56,5697658.48,6847716.13,19243035.47,17177010.5,23137753.05,75567336.68,119677424.75,159399549.58
d_0,2130.3,800.36,2724.98,6816.65,4245.8,27390.35,2525161.19,16000109.55,5084935.04,6598300.83,20644087.16,16255809.71,98553377.49,81856792.04,90515604.48,146733452.56
g_1,1486.54,3746.87,2015.67,3620.24,5172.32,24518.92,1896092.2,5065862.46,23454737.24,7582000.14,15176611.48,31985654.61,56012024.04,73127713.22,89215374.32,52774894.91
c_0,1757.22,2913.52,3480.03,1015.07,5343.85,21843.32,2296781.52,6413837.02,4965875.26,23511186.85,35970542.21,24862333.9,104307091.24,86090764.04,107051470.6,174779058.28
b_0,2314.81,2985.13,2711.59,4203.41,2100.07,16110.55,2660525.58,6737419.87,4572256.4,8431162.17,54339824.98,20451753.76,109720591.89,160266210.21,98433045.07,139280324.81
f_0,1870.82,2699.77,832.48,3557.28,5546.42,27708.53,2470465.45,6276663.94,6668154.0,11007249.96,22476297.95,70395736.22,79030588.85,99920162.35,250591835.96,158643103.1
h_0,1783.74,2941.34,3237.0,4197.59,3939.56,26527.19,733675.6,6550537.55,6237943.94,5603860.65,14395339.02,17874970.3,42526179.62,92063873.68,114148638.81,244834221.53
a_0,1988.13,2764.15,2858.21,3705.58,5326.55,,2174147.1,6509922.57,6975581.88,8303136.53,20645159.58,21305016.86,128303140.77,310524272.13,135530797.89,124225248.75
e_0,670.02,2764.94,2937.9,3386.62,4650.16,25181.19,3096731.9,10046584.37,6895795.81,9630163.9,24325905.17,20478607.43,128622038.39,105473737.64,492330659.02,238631222.32
g_0,1328.87,3603.14,2792.17,2893.39,5703.4,26494.8,2294757.74,5909390.37,2422905.1,9451105.52,19290164.41,26416848.6,110999386.66,64366024.51,117362476.81,63871154.87
