,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.58,1.25,0.53,0.57,0.61,0.52,0.91,0.91,0.87,0.9,1.0,0.43,0.84,0.78,0.56,0.75
e_1,0.69,2.62,0.56,0.76,0.59,0.6,0.94,0.86,1.72,0.93,1.01,1.01,0.97,1.05,0.47,0.9
d_1,0.76,0.55,2.95,0.48,0.63,0.55,0.93,1.81,0.35,0.84,1.18,1.06,1.28,1.07,1.1,1.15
c_1,0.58,0.59,0.6,2.98,1.27,0.53,0.81,0.4,0.87,0.8,0.64,1.11,0.84,0.73,0.97,0.67
b_1,0.66,0.59,0.71,0.64,3.07,1.26,0.71,0.76,0.89,0.86,0.41,0.81,0.63,1.02,1.0,1.06
a_1,0.78,0.48,0.76,0.72,0.56,4.18,1.02,0.89,0.89,0.93,0.95,0.88,0.44,1.16,1.13,1.06
h_1,1.12,0.79,0.81,0.8,0.65,0.62,2.65,1.07,1.12,1.29,1.27,1.13,1.23,0.75,1.15,1.55
c_0,0.82,0.79,1.05,0.56,0.57,0.75,1.18,2.02,0.94,1.19,2.17,1.08,1.54,1.21,1.19,1.31
d_0,0.76,0.77,0.5,1.63,0.75,0.69,1.09,0.74,2.0,1.03,1.01,1.16,1.08,1.15,1.11,1.11
g_1,0.63,0.59,1.29,0.86,0.7,0.71,1.15,1.05,0.94,3.19,1.14,1.88,1.17,1.24,1.22,0.85
b_0,0.84,0.85,0.91,0.85,0.39,0.69,1.23,1.2,1.1,1.22,2.24,1.28,2.33,1.23,1.18,1.26
f_0,0.56,0.62,0.86,0.95,0.85,0.81,1.34,1.02,1.01,1.07,0.93,2.57,1.07,1.26,2.84,1.4
a_0,0.97,0.84,1.07,0.79,0.67,0.53,1.28,1.15,1.21,1.05,1.15,0.94,2.71,1.42,1.18,1.17
h_0,0.98,0.8,0.91,0.8,0.64,0.87,0.58,1.1,1.16,1.36,1.28,1.08,1.06,0.76,1.38,1.48
e_0,0.92,0.4,0.72,0.94,0.9,0.86,1.29,1.26,1.08,1.28,1.41,1.1,1.2,1.55,3.31,1.5
g_0,0.68,0.73,1.41,0.82,0.6,0.79,1.08,1.16,0.95,0.68,1.15,1.74,1.05,1.03,1.4,0.8
