,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.05,1.78,1.82,3.66,17.24,23.69,29.78,45.39,43.68,61.37,81.8,95.21,116.46,147.37
f_1,1.24,1.0,1.0,1.61,1.83,3.46,13.05,21.64,27.18,32.15,38.6,44.23,69.7,68.36,71.84,128.74
d_1,0.95,1.0,1.0,1.22,1.72,3.63,15.5,18.38,38.06,29.84,40.9,47.63,65.3,78.14,110.86,108.61
c_1,0.56,0.63,0.83,1.0,1.75,2.35,10.3,13.25,14.55,14.85,25.41,30.4,46.91,51.48,69.09,89.95
b_1,0.55,0.55,0.58,0.57,1.0,3.07,10.14,13.4,16.71,17.78,18.16,27.19,34.03,49.71,61.39,69.94
a_1,0.27,0.28,0.28,0.43,0.33,1.0,4.71,6.74,10.25,9.96,12.31,14.42,23.35,29.02,25.93,43.87
h_1,0.06,0.08,0.06,0.1,0.1,0.22,1.0,1.75,1.92,1.98,2.28,2.97,4.56,5.08,6.36,8.57
g_1,0.04,0.04,0.06,0.08,0.07,0.15,0.58,1.0,1.36,1.51,1.68,2.86,2.95,3.5,5.56,5.78
c_0,0.03,0.04,0.03,0.07,0.06,0.1,0.52,0.73,1.0,1.28,1.9,1.77,2.37,3.04,3.87,4.34
d_0,0.02,0.03,0.03,0.07,0.06,0.1,0.51,0.68,0.82,1.0,1.27,1.56,2.34,2.75,3.64,4.79
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.45,0.58,0.54,0.76,1.0,1.08,2.83,2.39,2.75,3.39
f_0,0.02,0.02,0.02,0.03,0.04,0.07,0.32,0.36,0.58,0.66,0.94,1.0,1.54,1.93,3.86,2.37
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.22,0.33,0.42,0.41,0.36,0.68,1.0,1.19,1.57,1.39
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.2,0.29,0.34,0.36,0.41,0.5,0.8,1.0,1.21,1.66
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.18,0.27,0.3,0.37,0.28,0.64,0.81,1.0,1.4
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.17,0.23,0.21,0.3,0.44,0.67,0.6,0.69,1.0
