,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,98.36,107.96,66.56,86.05,131.11,562.68,7667.54,19562.44,21929.09,28152.76,40734.54,31159.7,107919.56,113379.21,195207.82,150842.31
e_1,53.87,114.17,63.38,107.33,149.78,489.04,9022.97,21231.59,22635.91,40436.86,40295.15,53757.56,114358.96,127335.67,170001.28,158548.8
d_1,61.14,64.8,120.3,70.4,161.14,422.82,8724.2,32086.17,18883.51,18174.98,44711.94,44245.31,112840.86,112995.66,151195.5,205275.81
c_1,50.54,52.63,73.03,135.62,235.94,465.94,8103.35,15108.12,16949.7,19629.22,29785.37,40052.57,102018.01,93851.94,157177.68,159869.44
b_1,46.01,48.85,54.96,57.71,220.68,669.95,7065.93,16491.15,15386.3,17874.6,27559.37,35444.05,90816.91,79326.69,124434.81,131786.6
a_1,27.35,34.32,44.48,44.86,67.85,600.23,4488.19,11479.79,13185.61,12724.29,22824.5,24017.21,66950.55,65052.68,98681.61,99804.13
h_1,18.41,16.08,20.44,20.2,35.71,126.1,3124.43,5119.69,6829.5,6664.19,10849.46,10255.07,24380.87,27262.25,56588.77,49282.41
c_0,13.17,13.01,13.05,15.71,22.65,101.67,1927.45,5405.8,4957.1,6077.17,13656.74,10051.44,24581.41,30766.14,34739.34,40827.39
g_1,10.14,11.68,18.42,17.38,29.1,86.06,1555.95,3966.44,6416.83,4298.45,7356.77,11053.04,17006.21,24367.9,24725.03,36357.42
d_0,10.59,10.0,11.69,25.01,30.99,81.62,1645.83,2926.26,4461.58,6136.62,7782.45,8710.58,20491.97,24675.75,34491.76,36173.73
b_0,10.09,11.3,12.06,15.02,19.53,69.46,1384.4,2809.95,3581.51,4173.89,9091.1,7661.56,19083.33,34840.56,29460.81,28536.43
f_0,8.91,8.34,13.02,13.97,24.02,77.22,1669.75,3314.36,3256.39,3814.77,6290.93,9812.6,16073.78,20924.91,23586.21,55255.3
h_0,8.76,8.61,9.1,10.64,16.78,57.18,940.23,2404.1,3678.18,3012.13,4905.76,5451.29,11814.47,14664.51,24492.58,19643.31
a_0,6.71,7.89,9.18,11.34,18.04,42.33,1141.07,2245.35,2200.37,2899.69,3787.32,5109.58,12442.34,19625.69,17457.9,23631.8
g_0,5.59,6.75,10.43,9.39,15.37,44.52,823.35,2320.59,2297.12,2589.32,4417.66,7019.62,10918.84,12571.92,15939.32,23585.41
e_0,6.37,5.96,7.56,9.32,16.56,43.8,835.26,2213.43,1768.68,2309.65,3690.35,3562.25,12226.06,11685.55,16284.3,28134.29
