,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.54,0.88,0.99,0.85,0.77,0.4,0.47,0.38,0.45,0.36,0.42,0.32,0.36,0.62,0.37
f_1,0.94,0.41,0.74,0.78,0.76,0.82,0.36,0.53,0.31,0.33,0.39,0.41,0.23,0.35,0.26,0.36
d_1,0.81,0.95,0.39,0.85,0.82,0.76,0.41,0.3,0.37,0.57,0.34,0.35,0.29,0.38,0.33,0.22
c_1,0.67,0.82,0.92,0.38,0.97,0.76,0.44,0.49,0.43,0.23,0.36,0.33,0.32,0.35,0.34,0.31
b_1,0.76,0.84,0.94,0.49,0.36,1.08,0.52,0.47,0.47,0.39,0.49,0.39,0.42,0.39,0.39,0.32
a_1,0.84,0.88,0.76,0.89,0.5,0.31,0.5,0.45,0.42,0.4,0.53,0.44,0.43,0.63,0.42,0.33
h_1,0.79,0.8,0.67,0.76,0.68,0.57,0.24,0.45,0.32,0.3,0.32,0.35,0.34,0.29,0.28,0.32
g_1,0.69,0.74,0.73,0.72,0.79,0.71,0.33,0.23,0.33,0.33,0.33,0.4,0.22,0.32,0.32,0.27
c_0,0.76,0.79,0.46,1.3,0.75,0.67,0.37,0.38,0.24,0.46,0.38,0.33,0.31,0.33,0.41,0.26
d_0,0.48,0.82,1.01,0.84,0.71,0.67,0.46,0.41,0.32,0.25,0.34,0.31,0.3,0.29,0.34,0.3
b_0,0.71,0.77,0.67,0.89,0.98,0.55,0.42,0.36,0.21,0.35,0.23,0.3,0.25,0.37,0.32,0.24
f_0,0.64,1.07,0.69,0.83,0.73,0.67,0.35,0.24,0.32,0.32,0.33,0.23,0.31,0.37,0.49,0.21
h_0,0.64,0.84,0.72,0.72,0.69,0.56,0.49,0.44,0.3,0.31,0.34,0.29,0.31,0.32,0.33,0.27
a_0,0.69,0.82,0.61,0.94,0.77,0.87,0.4,0.42,0.3,0.43,0.2,0.33,0.24,0.21,0.42,0.27
e_0,0.96,0.96,0.72,0.65,0.64,0.64,0.43,0.36,0.31,0.31,0.36,0.21,0.29,0.29,0.2,0.28
g_0,0.62,0.78,0.71,0.81,0.8,0.72,0.28,0.51,0.31,0.35,0.33,0.35,0.23,0.29,0.33,0.32
