,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.13,4.39,4.98,5.04,5.01,5.01,1.17,1.82,1.22,1.13,2.57,1.02,0.53,0.98,1.12,1.26
d_1,6.07,1.12,6.64,5.34,5.44,4.48,1.64,1.05,2.12,1.03,0.96,0.88,0.69,0.49,0.92,0.82
e_1,2.77,5.6,1.13,6.14,6.15,6.41,1.85,1.66,1.29,1.17,1.37,1.37,0.87,0.84,1.18,3.15
c_1,5.64,7.17,5.25,1.13,5.35,5.02,1.25,1.4,0.68,2.34,1.18,0.9,0.99,0.81,1.04,1.13
b_1,8.0,6.62,6.04,3.16,1.14,7.7,2.13,2.41,1.4,1.58,1.25,3.54,0.91,1.1,1.44,1.33
a_1,10.75,13.29,8.28,14.46,5.12,1.14,3.47,2.48,2.23,1.68,1.82,2.14,1.52,1.5,5.24,1.86
h_1,18.04,18.89,17.01,17.58,15.05,19.18,1.77,6.35,3.15,3.4,3.49,3.3,4.66,2.29,2.72,2.58
g_1,28.29,18.2,20.43,24.46,22.23,18.62,4.9,1.83,4.31,3.84,3.58,5.16,2.41,4.91,4.68,3.64
d_0,22.67,45.38,12.16,24.46,24.06,22.56,6.7,8.44,2.44,4.54,5.16,4.35,3.82,3.33,4.56,4.81
c_0,31.57,12.8,23.49,63.78,25.09,23.39,7.33,6.41,7.01,2.42,4.66,5.16,3.75,3.73,5.16,5.32
f_0,54.4,21.3,24.49,31.28,24.26,20.19,7.53,4.98,7.24,3.99,2.31,4.96,3.19,2.19,4.75,4.81
b_0,31.02,22.11,24.66,35.75,58.7,25.24,7.46,7.36,6.05,3.06,5.12,2.58,4.04,3.55,5.56,4.38
h_0,38.02,28.88,29.77,31.28,37.15,29.97,20.43,9.89,7.75,5.93,6.44,6.03,8.65,5.57,6.36,5.77
g_0,42.1,36.02,40.62,38.73,38.12,37.61,7.4,20.35,8.14,7.99,7.74,7.59,4.56,10.66,6.47,6.07
a_0,37.62,38.82,38.8,45.18,51.49,112.82,12.08,14.72,7.01,6.89,8.19,4.21,5.97,5.18,2.64,7.06
e_0,73.67,36.4,75.07,39.19,37.63,40.81,9.43,9.75,9.03,6.97,4.44,7.59,6.84,5.57,13.69,2.64
