,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.33,0.21,0.27,0.24,0.29,0.28,0.57,0.63,0.44,1.11,0.57,0.54,0.74,0.54,,0.87
f_1,0.49,2.4,0.31,0.28,0.23,0.32,0.44,0.73,0.34,0.55,0.59,,0.65,0.64,0.54,0.64
d_1,0.24,0.26,2.46,0.35,0.24,0.28,0.59,1.05,0.48,,0.55,0.59,0.77,0.59,0.67,0.56
c_1,0.32,0.27,0.26,2.67,0.46,0.26,0.54,,0.65,0.38,0.57,0.73,0.72,0.51,0.55,0.84
b_1,0.22,0.28,0.32,0.24,2.88,0.4,0.7,0.47,0.43,0.63,,0.72,0.89,0.49,0.62,0.72
a_1,0.31,0.24,0.28,0.29,0.24,3.18,0.56,0.65,0.56,0.44,0.6,0.63,0.78,,,0.73
h_1,0.45,0.78,0.51,0.51,0.45,0.48,3.79,1.13,1.43,1.42,1.14,1.26,,1.07,0.98,1.47
c_0,0.63,0.49,0.4,,0.64,0.57,1.42,3.41,1.18,0.95,2.16,1.54,2.01,1.53,1.42,1.89
g_1,0.48,0.57,0.63,0.5,0.69,0.59,0.94,1.18,4.26,1.12,1.31,1.37,1.2,,1.09,
d_0,0.46,0.71,,1.06,0.6,0.64,0.96,1.6,1.21,3.5,1.72,1.13,1.88,1.03,1.18,1.95
b_0,0.55,0.61,0.63,0.54,,0.56,1.26,1.27,1.35,1.31,3.62,1.44,1.45,2.51,1.33,1.83
f_0,0.56,,0.59,0.62,0.62,0.7,1.13,1.28,1.32,1.79,1.16,3.81,1.68,1.19,2.18,1.6
h_0,0.9,1.09,0.77,0.74,0.73,0.53,,1.14,1.77,1.64,1.79,1.85,,1.1,1.4,2.44
a_0,0.66,0.56,0.72,0.55,0.61,,1.3,1.3,,1.74,0.99,1.19,2.36,4.4,1.44,1.34
e_0,,0.65,0.52,0.59,0.57,,1.67,1.42,1.32,1.25,1.25,1.13,2.06,1.34,4.65,1.8
g_0,0.58,0.77,1.17,0.72,0.65,0.64,1.18,1.57,,1.67,1.58,1.93,2.18,2.14,1.71,
