,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.89,0.24,0.2,0.23,0.18,0.12,0.21,0.18,0.21,0.32,0.15,0.17,0.13,0.2,0.06,0.15
f_1,0.43,0.89,0.18,0.2,0.15,0.12,0.18,0.15,0.16,0.17,0.07,0.15,0.13,0.17,0.09,0.13
d_1,0.21,0.22,0.9,0.14,0.17,0.13,0.22,0.18,0.39,0.11,0.18,0.2,0.13,0.15,0.14,0.16
c_1,0.22,0.2,0.22,0.89,0.33,0.11,0.21,0.17,0.06,0.18,0.17,0.11,0.12,0.16,0.11,0.14
b_1,0.21,0.25,0.2,0.2,0.88,0.23,0.2,0.18,0.16,0.16,0.17,0.07,0.08,0.2,0.1,0.14
a_1,0.28,0.23,0.23,0.16,0.14,0.88,0.21,0.17,0.2,0.2,0.18,0.17,0.07,0.22,0.15,0.16
h_1,0.24,0.41,0.27,0.24,0.2,0.14,0.57,0.27,0.21,0.2,0.16,0.24,0.16,0.16,0.15,0.25
g_1,0.26,0.25,0.41,0.25,0.22,0.11,0.19,0.57,0.22,0.18,0.31,0.19,0.13,0.26,0.12,0.15
c_0,0.24,0.31,0.36,0.19,0.15,0.15,0.26,0.2,0.44,0.21,0.22,0.45,0.19,0.27,0.19,0.22
d_0,0.28,0.31,0.17,0.43,0.21,0.1,0.25,0.24,0.19,0.43,0.2,0.2,0.18,0.26,0.17,0.17
f_0,0.24,0.18,0.34,0.27,0.18,0.15,0.28,0.2,0.28,0.26,0.46,0.21,0.17,0.24,0.36,0.22
b_0,0.26,0.33,0.3,0.29,0.09,0.12,0.24,0.22,0.25,0.25,0.25,0.45,0.36,0.24,0.17,0.23
a_0,0.27,0.36,0.33,0.26,0.18,0.08,0.27,0.23,0.23,0.22,0.22,0.21,0.44,0.26,0.15,0.21
h_0,0.28,0.42,0.31,0.21,0.19,0.15,0.15,0.29,0.22,0.2,0.19,0.18,0.14,0.16,0.12,0.23
e_0,0.2,0.34,0.28,0.25,0.25,0.13,0.25,0.19,0.25,0.23,0.22,0.25,0.2,0.25,0.41,0.2
g_0,0.27,0.22,0.46,0.24,0.18,0.13,0.23,0.14,0.24,0.2,0.31,0.23,0.16,0.23,0.17,0.14
