,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.96,0.57,0.87,0.62,0.52,0.34,0.39,0.43,0.36,0.36,0.37,0.26,0.34,0.27,0.18,0.26
d_1,0.75,0.96,0.66,0.48,0.52,0.44,0.44,0.35,0.35,0.59,0.41,0.33,0.38,0.3,0.28,0.28
e_1,0.62,0.58,0.96,0.75,0.51,0.41,0.41,0.63,0.37,0.37,0.4,0.41,0.37,0.27,0.27,0.32
c_1,0.66,0.74,0.55,0.95,0.86,0.49,0.38,0.32,0.34,0.29,0.3,0.31,0.36,0.28,0.24,0.33
b_1,0.67,0.73,0.63,0.51,0.95,0.75,0.45,0.39,0.37,0.41,0.29,0.35,0.38,0.23,0.26,0.34
a_1,0.87,0.74,0.73,0.61,0.6,0.94,0.54,0.47,0.45,0.42,0.42,0.39,0.43,0.28,0.3,0.32
h_1,1.14,0.89,0.97,1.01,0.72,0.6,0.81,0.57,0.63,0.49,0.53,0.48,0.46,0.37,0.37,0.57
d_0,1.0,0.88,0.8,1.45,0.92,0.67,0.66,0.74,0.53,0.41,0.56,0.54,0.55,0.42,0.42,0.48
g_1,0.97,1.27,0.88,1.02,0.82,0.61,0.64,0.54,0.79,0.59,0.57,0.62,0.52,0.48,0.43,0.48
c_0,1.09,0.84,1.1,0.99,0.68,0.73,0.71,0.79,0.6,0.74,0.95,0.61,0.6,0.5,0.47,0.5
b_0,1.05,1.0,0.99,1.19,0.79,0.58,0.71,0.67,0.62,0.53,0.74,0.57,0.67,0.75,0.53,0.53
f_0,1.05,1.01,0.85,1.14,0.99,0.79,0.76,0.67,0.6,0.64,0.61,0.72,0.6,0.46,0.74,0.49
h_0,1.46,1.08,1.15,1.09,0.87,0.63,0.64,0.69,0.75,0.61,0.62,0.55,0.56,0.47,0.45,0.64
a_0,1.13,1.14,1.07,1.14,1.06,0.76,0.89,0.75,0.63,0.69,0.61,0.67,0.72,0.68,0.51,0.62
e_0,1.44,1.09,0.95,1.25,1.09,0.77,0.86,0.72,0.73,0.69,0.63,0.51,0.81,0.56,0.69,0.54
g_0,1.23,1.42,1.01,1.12,0.91,0.86,0.69,0.73,0.56,0.73,0.71,0.78,0.59,0.5,0.6,0.52
