,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.14,1.99,2.17,2.23,1.65,0.61,0.63,0.55,0.88,0.55,0.75,0.35,0.51,0.5,0.45
e_1,1.57,1.06,2.04,2.42,2.14,1.97,1.11,0.9,0.66,0.81,0.81,0.87,0.61,0.6,0.94,0.69
d_1,2.73,2.9,1.06,2.22,2.87,1.67,0.87,1.13,0.88,0.57,0.6,0.62,0.55,0.69,0.56,0.37
c_1,2.52,2.4,2.81,1.07,2.64,2.08,0.83,0.48,0.85,0.84,0.59,0.63,0.58,0.6,0.61,0.55
b_1,2.74,2.62,2.4,1.61,1.06,3.24,1.21,0.84,0.99,1.06,1.66,0.75,0.65,0.66,0.66,0.7
a_1,4.81,3.34,4.22,3.58,1.96,1.07,1.34,1.09,1.05,1.72,1.13,1.03,0.72,1.6,0.88,0.63
h_1,7.28,5.5,6.38,6.09,4.84,4.84,1.34,1.63,1.78,2.48,1.67,1.39,2.2,1.42,1.34,1.42
d_0,7.57,4.22,9.57,9.13,6.9,6.11,2.96,1.54,2.5,2.65,1.69,2.22,1.72,1.92,1.93,1.88
c_0,7.88,8.0,4.13,14.86,6.5,6.88,2.82,2.51,1.51,2.85,2.61,1.7,1.98,1.88,1.74,1.47
g_1,7.08,8.12,8.2,8.32,7.23,4.62,2.09,2.12,2.06,1.35,2.31,2.39,1.4,1.75,1.78,1.95
b_0,8.74,6.59,7.51,10.29,9.2,7.39,2.88,2.59,1.52,2.43,1.53,2.06,1.79,2.43,1.76,1.34
f_0,18.1,7.66,7.75,10.04,7.19,7.14,3.92,2.83,2.86,2.03,3.16,1.52,2.15,2.46,3.07,1.48
h_0,10.77,8.56,8.95,9.59,8.78,9.04,5.16,2.69,2.72,3.65,2.88,2.66,2.9,2.29,2.29,2.27
a_0,12.19,10.17,8.16,9.82,13.97,11.63,3.69,3.07,2.79,4.74,1.85,2.58,3.21,1.61,2.28,2.44
e_0,14.89,14.09,10.6,10.84,12.19,8.93,4.48,3.49,3.18,3.78,3.8,1.78,2.9,3.16,1.68,2.25
g_0,13.85,10.88,11.38,11.86,9.65,10.72,3.56,3.64,3.43,5.36,3.79,3.14,2.12,3.33,2.53,3.02
