,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,1.04,1.16,0.91,1.07,1.18,1.01,1.29,1.12,1.05,1.04,1.14,1.06,0.97,0.95
f_1,1.35,1.0,0.89,1.12,0.9,1.0,0.76,1.11,0.99,0.88,0.99,1.01,0.88,0.79,0.8,0.94
d_1,0.96,1.13,1.0,0.85,0.94,0.95,1.06,0.78,1.1,1.33,1.11,0.93,1.0,0.96,1.14,0.91
c_1,0.86,0.89,1.18,1.0,1.53,0.9,1.1,1.02,0.74,0.85,0.82,0.88,1.04,0.81,0.94,0.98
b_1,1.1,1.11,1.06,0.65,1.0,1.29,1.07,1.23,0.96,0.81,0.96,1.17,0.78,1.23,0.99,1.26
a_1,0.93,1.0,1.05,1.11,0.77,1.0,1.16,1.22,0.93,1.06,1.15,0.9,1.83,1.15,0.91,1.31
h_1,0.84,1.34,0.96,0.93,0.96,0.84,1.0,1.07,0.98,0.99,0.97,1.11,0.9,1.08,1.0,1.22
g_1,1.0,0.92,1.25,1.04,0.8,0.81,0.91,1.0,1.02,0.9,0.94,1.4,1.05,1.08,0.95,1.02
d_0,0.75,1.04,0.98,1.44,1.03,1.07,0.99,1.0,1.0,0.97,0.96,0.89,1.05,1.18,0.95,1.04
c_0,0.92,1.13,0.72,1.2,1.28,0.99,1.0,1.1,1.13,1.0,1.34,1.05,0.96,1.17,1.06,0.98
b_0,1.0,1.03,0.9,1.21,1.16,0.79,1.04,1.06,1.02,0.71,1.0,1.1,1.48,1.13,1.06,0.9
f_0,0.92,1.0,0.98,1.13,0.89,1.17,0.91,0.69,1.16,0.98,0.83,1.0,0.93,1.22,1.39,0.79
a_0,0.94,1.15,0.97,0.88,1.3,,1.05,0.91,0.91,1.03,0.74,1.06,1.0,1.09,1.19,1.08
h_0,0.91,1.29,1.02,1.19,0.8,0.86,0.97,0.89,0.84,0.84,0.91,0.87,0.91,1.0,1.05,1.07
e_0,1.15,1.26,0.88,1.06,0.93,1.08,1.01,1.1,1.04,0.89,0.99,0.7,0.83,0.91,1.0,0.9
g_0,1.0,1.08,1.15,1.04,0.81,0.69,0.86,0.97,0.93,1.0,1.07,1.32,0.86,0.93,1.04,1.0
