,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,2.11,1.88,2.11,1.95,2.21,0.72,0.81,0.73,0.76,0.68,1.36,0.44,0.53,0.63,0.57
e_1,1.36,0.67,2.26,2.2,1.63,1.71,1.04,1.09,0.77,0.86,0.8,0.93,0.64,0.91,0.67,1.24
d_1,2.27,2.25,0.66,2.04,1.76,1.58,1.03,0.71,0.9,1.95,0.74,0.75,0.62,0.72,0.41,0.79
c_1,2.0,1.93,2.5,0.64,2.51,2.18,1.03,0.92,1.34,0.48,0.77,0.83,0.69,0.81,0.58,0.74
b_1,2.61,2.97,2.61,1.36,0.61,2.49,0.91,1.18,0.89,0.84,1.87,0.81,0.78,0.86,0.97,0.68
a_1,3.11,3.31,2.57,2.91,1.54,0.57,1.25,0.97,0.9,0.92,1.34,0.95,0.92,3.34,0.65,0.98
h_1,2.91,2.35,2.39,2.76,2.98,2.31,0.6,1.26,0.79,1.02,0.83,0.93,1.33,0.76,0.89,0.91
g_1,3.07,2.89,2.86,2.91,2.54,3.21,1.01,0.57,1.03,1.16,1.08,0.96,0.78,0.97,1.08,1.08
c_0,2.86,3.36,1.72,5.37,4.11,3.31,1.45,1.43,0.65,1.06,1.24,0.94,0.87,1.02,0.83,1.01
d_0,3.11,1.63,4.64,3.72,3.26,2.9,1.41,1.7,1.41,0.67,1.03,0.94,0.83,0.85,0.9,0.95
b_0,3.52,2.65,2.75,3.69,6.7,2.17,1.29,1.24,0.66,1.25,0.63,0.95,0.81,1.58,0.84,0.91
f_0,7.4,2.69,2.87,2.73,3.63,2.71,1.43,1.17,1.07,1.06,1.23,0.62,0.89,0.99,0.64,1.1
h_0,4.26,3.31,3.19,3.38,3.18,2.65,2.14,1.76,1.25,1.44,1.31,1.17,1.83,1.1,1.16,0.96
a_0,4.48,2.78,3.32,3.41,4.29,,1.92,1.49,1.42,1.53,0.66,1.11,0.98,0.59,0.98,1.08
g_0,4.51,3.72,4.07,4.09,3.37,2.91,1.29,2.9,1.11,1.23,1.11,1.57,0.74,1.16,1.6,1.07
e_0,4.84,6.07,3.65,3.53,4.13,3.17,1.63,1.27,1.13,1.32,1.39,0.63,1.05,0.94,1.28,0.57
