,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,0.93,1.02,0.89,0.85,0.79,0.83,0.6,0.86,0.71,0.54,0.64,0.65,,0.5
f_1,1.41,1.0,1.1,0.85,0.98,0.96,0.69,0.68,0.68,0.53,0.58,,0.63,0.48,0.58,0.45
d_1,1.07,0.91,1.0,0.86,0.95,0.81,0.86,0.48,0.96,,0.72,0.66,0.57,0.56,0.5,0.46
c_1,0.98,1.18,1.16,1.0,1.33,0.78,0.78,0.49,,0.51,0.62,0.66,0.51,0.57,0.81,0.54
b_1,1.13,1.02,1.06,0.75,1.0,1.1,0.64,0.82,0.72,0.64,,0.65,0.69,0.72,0.55,0.58
a_1,1.18,1.04,1.24,1.27,0.91,1.0,0.88,0.91,0.67,0.68,0.79,0.7,,0.7,,0.75
h_1,1.27,1.44,1.16,1.29,1.57,1.14,1.0,0.9,0.9,0.96,0.86,0.92,0.72,,0.99,0.98
g_1,1.21,1.47,2.09,2.05,1.22,1.1,1.11,1.0,0.82,0.87,1.07,1.28,0.79,0.71,0.77,
c_0,1.65,1.46,1.04,,1.39,1.49,1.11,1.23,1.0,0.97,1.21,1.03,0.89,0.95,0.73,0.87
d_0,1.16,1.89,,1.97,1.56,1.47,1.05,1.15,1.03,1.0,1.15,0.88,0.73,0.75,0.64,0.94
b_0,1.41,1.71,1.4,1.6,,1.27,1.17,0.94,0.83,0.87,1.0,0.83,1.58,1.07,0.74,0.96
f_0,1.84,,1.52,1.52,1.54,1.42,1.09,0.78,0.97,1.13,1.21,1.0,0.82,0.94,,0.69
a_0,1.55,1.58,1.74,1.95,1.45,,1.39,1.27,1.12,1.37,0.63,1.21,1.0,1.12,0.96,
h_0,1.54,2.07,1.78,1.75,1.4,1.42,,1.42,1.05,1.33,0.94,1.06,0.89,,,1.22
e_0,,1.72,1.98,1.24,1.83,,1.01,1.3,1.37,1.57,1.35,,1.04,,1.0,0.8
g_0,2.0,2.22,2.16,1.86,1.72,1.33,1.02,,1.15,1.06,1.04,1.45,,0.82,1.24,
