,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,5.88,1.65,2.03,1.17,1.4,1.32,5.33,13.46,5.87,7.21,8.16,6.97,10.86,8.62,11.23,4.43
f_1,2.58,6.18,1.42,1.4,1.35,1.48,5.05,5.72,4.26,6.8,3.16,6.53,9.48,6.12,9.27,5.45
c_1,1.43,1.39,6.63,1.49,2.72,1.46,4.82,6.79,5.02,2.63,7.67,5.21,11.62,7.02,11.06,7.86
d_1,1.36,1.84,1.18,6.77,1.41,1.39,6.13,3.6,6.1,13.65,7.74,8.71,12.51,6.81,13.46,7.58
b_1,1.37,1.36,1.43,1.5,7.41,3.39,5.53,5.66,5.91,6.14,8.17,3.91,11.17,6.26,8.91,7.21
a_1,1.35,1.49,1.57,1.97,1.64,10.06,5.25,6.51,6.18,6.63,8.43,7.46,10.32,3.66,10.04,10.29
h_1,1.58,2.52,1.95,2.1,1.68,1.78,15.73,7.04,9.2,7.75,8.88,7.93,8.42,10.12,15.95,10.15
d_0,1.9,1.74,4.04,0.94,1.93,1.47,6.92,14.87,5.9,5.01,9.03,8.55,12.45,10.01,12.5,10.65
g_1,1.77,1.68,1.96,2.95,1.51,1.71,7.14,7.55,19.88,7.91,13.92,7.59,12.58,8.74,7.83,9.01
c_0,2.13,2.12,1.07,2.22,1.5,1.59,8.31,9.14,7.41,17.29,10.33,18.44,13.45,10.56,14.08,10.13
f_0,1.59,1.41,2.18,2.06,2.13,1.57,8.1,8.45,7.56,8.79,18.01,10.68,14.34,10.45,14.11,20.77
b_0,2.05,2.22,1.8,1.74,1.07,1.17,8.3,10.89,7.32,10.06,8.99,21.37,14.4,21.84,12.85,10.97
h_0,1.69,2.67,1.62,2.05,1.97,1.62,5.18,7.53,8.72,9.14,8.12,9.42,8.86,9.59,17.98,9.42
a_0,2.06,1.96,2.16,1.82,1.92,1.01,7.7,9.32,6.27,8.27,9.09,10.56,13.78,26.14,12.91,11.25
g_0,1.68,1.61,1.59,2.98,1.96,1.41,7.39,7.74,4.99,9.39,14.84,9.9,11.88,8.73,10.52,12.26
e_0,1.3,1.93,2.21,2.24,2.19,1.4,8.13,8.36,8.14,9.33,7.92,9.32,15.24,11.06,14.96,27.94
