,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.82,0.89,1.15,0.93,0.84,0.71,0.88,0.68,0.58,0.58,0.66,0.6,0.59,0.54,0.59
f_1,1.24,1.0,0.89,0.96,0.95,0.76,0.56,0.67,0.67,0.59,0.61,0.5,0.49,0.42,0.53,0.54
d_1,1.07,1.13,1.0,0.91,0.91,0.75,0.71,0.68,0.55,0.82,0.68,0.62,0.61,0.63,0.57,0.45
c_1,0.87,1.04,1.11,1.0,1.28,0.87,0.73,0.48,0.71,0.62,0.55,0.64,0.6,0.54,0.52,0.55
b_1,1.09,1.04,1.08,0.78,1.0,1.28,0.73,0.68,0.73,0.73,0.77,0.69,0.69,0.59,0.57,0.56
a_1,1.18,1.32,1.33,1.13,0.79,1.0,0.92,0.74,0.79,0.86,0.84,0.76,0.74,0.73,0.84,0.74
h_1,1.44,1.68,1.4,1.41,1.35,1.06,1.0,0.97,1.14,0.87,0.87,0.76,0.85,0.75,0.72,0.84
d_0,1.17,1.51,1.48,2.12,1.51,1.3,1.07,1.0,0.99,0.82,0.88,0.94,0.87,0.85,0.76,0.94
g_1,1.46,1.58,1.75,1.43,1.35,1.22,0.86,0.97,1.0,0.99,0.95,1.1,0.83,0.9,0.81,0.87
c_0,1.73,1.72,1.26,1.62,1.32,1.12,1.17,1.2,0.98,1.0,1.25,0.96,0.91,0.96,1.0,0.78
b_0,1.74,1.63,1.48,1.88,1.37,1.09,1.18,1.14,1.08,0.81,1.0,0.98,0.99,0.95,1.26,0.88
f_0,1.49,1.91,1.61,1.64,1.51,1.34,1.28,1.03,0.93,1.05,1.04,1.0,0.98,1.24,0.8,0.78
h_0,1.68,1.98,1.69,1.65,1.45,1.32,1.18,1.11,1.19,1.08,1.05,1.07,1.0,0.99,0.96,1.12
e_0,1.8,2.31,1.55,1.97,1.73,1.29,1.31,1.13,1.08,1.13,1.04,0.86,1.07,1.0,0.97,0.95
a_0,1.9,1.88,1.67,1.89,1.81,1.22,1.43,1.25,1.23,1.02,0.81,1.29,1.01,1.1,1.0,0.97
g_0,1.8,1.79,2.13,1.88,1.79,1.35,1.21,1.05,1.13,1.26,1.17,1.32,0.92,1.05,0.96,1.0
