,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.15,76.22,76.16,71.18,82.57,71.28,18.29,16.12,14.75,33.79,20.88,,13.1,6.48,15.36,20.88
c_1,76.57,1.15,95.74,84.65,203.67,108.79,19.2,7.88,,26.75,24.86,15.65,23.12,9.97,17.79,13.36
e_1,53.6,92.7,1.15,97.88,89.85,121.59,24.77,16.12,21.63,27.91,18.64,20.21,14.04,12.97,,15.9
b_1,107.2,49.71,83.78,1.15,95.47,121.59,40.42,21.66,23.18,30.57,,15.65,21.83,13.89,16.9,11.93
d_1,107.2,107.19,119.68,80.31,1.15,68.9,20.21,,27.04,14.59,20.88,19.4,26.2,15.56,22.53,10.44
a_1,163.13,142.92,223.4,101.03,145.48,1.15,42.67,30.13,22.38,40.12,34.8,28.53,,27.79,30.73,18.56
h_1,91.51,142.92,93.08,101.03,98.55,89.87,2.0,19.8,20.94,30.57,22.7,20.21,26.2,,,11.52
d_0,121.03,63.52,50.77,125.28,,98.43,23.27,3.08,20.28,22.93,14.11,16.17,17.86,8.84,22.53,11.13
c_0,83.38,,95.74,104.4,48.49,93.95,24.77,19.8,2.94,30.57,15.82,25.53,18.71,14.96,18.78,11.52
g_1,113.7,110.65,134.04,101.03,160.79,172.25,27.43,30.13,29.5,2.0,22.7,24.25,26.2,17.68,,
b_0,96.21,180.53,90.57,,113.15,147.64,26.48,38.5,12.98,26.75,3.11,17.32,35.73,14.96,22.53,19.65
f_0,,142.92,186.17,104.4,105.34,114.83,48.0,23.9,21.63,21.4,24.86,3.03,,19.45,26.0,10.44
a_0,163.13,214.38,197.12,149.14,105.34,,45.18,53.31,28.22,42.8,14.11,,2.89,25.93,,20.88
h_0,104.22,95.28,104.72,125.28,98.55,114.83,,17.32,18.54,23.78,24.86,22.05,14.04,,19.88,15.9
e_0,220.71,190.56,,149.14,169.72,137.8,,38.5,32.45,,34.8,20.21,,27.79,3.02,16.7
g_0,156.33,114.33,167.55,156.6,145.48,103.35,24.0,24.75,21.63,,17.4,23.1,28.07,14.96,18.78,
