,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.89,0.2,0.29,0.14,0.16,0.1,0.15,0.15,0.17,0.13,0.17,0.05,0.11,0.16,0.08,0.12
c_1,0.19,0.89,0.17,0.33,0.15,0.1,0.13,0.2,0.05,0.12,0.07,0.1,0.07,0.15,0.08,0.13
e_1,0.23,0.24,0.89,0.17,0.12,0.09,0.19,0.33,0.16,0.11,0.15,0.12,0.1,0.15,0.03,0.14
b_1,0.21,0.19,0.17,0.88,0.17,0.2,0.15,0.14,0.14,0.13,0.06,0.13,0.08,0.13,0.11,0.11
d_1,0.2,0.11,0.19,0.16,0.89,0.13,0.14,0.09,0.32,0.13,0.18,0.18,0.13,0.16,0.1,0.14
a_1,0.22,0.18,0.17,0.16,0.22,0.88,0.17,0.14,0.15,0.12,0.15,0.14,0.06,0.13,0.1,0.13
h_1,0.32,0.27,0.2,0.18,0.21,0.11,0.56,0.2,0.18,0.21,0.16,0.14,0.13,0.1,0.09,0.19
d_0,0.26,0.44,0.21,0.21,0.1,0.11,0.17,0.43,0.14,0.13,0.13,0.15,0.12,0.21,0.13,0.15
c_0,0.29,0.14,0.23,0.16,0.24,0.13,0.2,0.21,0.45,0.16,0.35,0.19,0.18,0.22,0.13,0.17
g_1,0.21,0.22,0.19,0.16,0.37,0.11,0.14,0.18,0.21,0.56,0.15,0.22,0.13,0.2,0.11,0.09
b_0,0.27,0.25,0.21,0.11,0.23,0.11,0.17,0.26,0.22,0.15,0.41,0.16,0.28,0.21,0.12,0.19
f_0,0.19,0.28,0.19,0.19,0.22,0.17,0.21,0.26,0.24,0.15,0.2,0.41,0.13,0.2,0.25,0.16
a_0,0.32,0.24,0.24,0.19,0.18,0.07,0.2,0.24,0.19,0.15,0.18,0.18,0.41,0.25,0.13,0.15
h_0,0.38,0.24,0.19,0.2,0.2,0.14,0.09,0.27,0.2,0.21,0.2,0.14,0.14,0.11,0.14,0.17
e_0,0.31,0.2,0.12,0.22,0.25,0.12,0.22,0.2,0.21,0.17,0.17,0.19,0.14,0.18,0.37,0.21
g_0,0.21,0.22,0.19,0.19,0.35,0.14,0.21,0.22,0.19,0.08,0.15,0.27,0.13,0.21,0.16,0.1
