,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.51,0.66,0.54,0.87,0.64,0.52,0.81,0.82,1.25,0.69,0.79,0.93,0.95,0.54,0.76,0.84
d_1,0.71,1.52,0.78,0.54,0.63,0.55,0.81,0.73,0.49,1.22,0.93,0.79,0.87,0.71,0.76,0.64
f_1,1.18,0.66,1.53,0.67,0.5,0.47,0.68,0.67,0.84,0.75,0.75,0.33,0.61,0.48,0.6,0.78
c_1,0.59,0.76,0.69,1.57,1.15,0.53,0.75,0.75,0.71,0.36,0.62,0.73,0.9,0.57,0.62,0.66
b_1,0.65,0.71,0.84,0.52,1.61,1.06,0.84,0.83,0.87,0.9,0.52,0.79,0.95,0.74,0.42,0.83
a_1,0.74,0.82,0.89,0.82,0.5,1.74,0.89,0.81,0.73,0.9,0.94,0.8,0.9,0.82,0.46,0.85
h_1,0.89,0.95,1.19,0.85,0.88,0.7,1.75,1.28,0.99,1.05,0.9,0.97,0.93,1.03,0.89,1.38
g_1,0.85,1.26,0.86,0.89,0.8,0.75,0.86,1.74,1.06,1.01,1.03,1.46,0.97,1.0,0.79,0.88
d_0,0.86,0.81,0.86,1.48,0.84,0.88,1.09,1.0,1.57,0.89,0.8,1.01,1.17,1.01,0.77,1.24
c_0,1.07,0.99,1.07,0.73,0.71,0.73,1.09,1.12,1.06,1.62,1.68,1.09,1.27,1.03,1.08,1.11
b_0,0.91,1.01,1.09,1.02,0.52,0.7,1.23,0.99,1.31,1.04,1.68,1.15,1.35,0.9,1.72,1.18
f_0,0.83,1.16,0.87,1.02,0.91,0.75,1.11,0.96,1.32,1.1,1.01,1.68,1.41,1.69,0.86,1.18
h_0,0.83,1.08,1.47,0.92,0.85,0.86,0.72,1.51,1.14,1.13,1.18,1.06,0.84,0.96,0.87,1.27
e_0,0.63,1.19,1.16,1.1,0.98,0.79,1.12,1.3,1.36,1.14,1.23,1.01,1.48,1.77,1.01,1.14
a_0,0.94,1.04,1.11,1.2,1.14,0.42,1.25,1.1,1.46,0.97,1.05,1.31,1.54,1.03,1.8,1.11
g_0,0.89,1.52,0.95,1.11,0.84,0.73,1.16,0.91,1.16,1.1,1.07,1.56,1.43,1.21,1.01,0.83
