,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.44,1.14,1.85,2.53,2.44,1.92,0.64,0.45,0.64,0.44,0.42,0.54,0.29,0.43,0.31,1.26
f_1,2.01,0.43,1.79,1.97,2.19,1.64,0.44,0.4,0.64,0.36,0.45,0.74,0.22,0.38,0.38,0.39
d_1,2.01,2.01,0.42,2.45,2.13,2.45,0.59,1.21,0.35,0.42,0.4,0.44,0.28,0.39,0.18,0.37
c_1,1.84,2.38,2.78,0.41,2.0,1.87,0.7,0.23,0.65,0.87,0.46,0.37,0.31,0.4,0.32,0.29
b_1,2.59,2.69,2.65,1.1,0.38,2.33,0.87,0.51,0.7,0.81,1.33,0.54,0.35,0.51,0.37,0.55
a_1,2.65,3.78,3.17,3.08,1.23,0.33,0.64,0.6,1.44,0.58,0.6,0.52,0.52,1.84,0.42,0.46
h_1,3.39,3.69,3.39,3.18,3.23,3.19,0.32,0.72,1.04,0.61,0.67,0.67,0.98,0.72,0.58,0.74
d_0,2.2,3.65,9.67,3.21,3.84,3.96,1.08,0.4,1.18,0.97,0.76,0.76,0.55,0.8,0.65,0.84
g_1,4.42,3.99,2.91,4.2,4.41,4.1,0.82,0.95,0.29,0.73,0.88,0.71,0.4,0.68,0.94,0.72
c_0,3.85,3.9,1.91,7.31,4.01,4.75,1.09,1.27,1.02,0.37,0.87,0.9,0.58,0.76,0.69,0.89
b_0,3.73,3.4,3.72,4.68,7.86,4.85,1.05,0.94,1.08,0.44,0.35,0.78,0.48,0.62,0.57,0.66
f_0,3.87,8.81,3.77,4.17,3.61,3.94,1.06,0.81,0.77,0.74,0.77,0.35,0.56,0.68,0.34,0.7
h_0,4.36,3.99,4.41,4.74,5.47,4.24,2.16,0.87,1.21,0.85,0.86,0.92,1.27,0.73,0.72,0.89
a_0,5.78,5.03,4.1,4.57,6.24,10.85,1.62,0.95,1.46,0.85,0.54,0.97,0.83,0.33,0.77,1.21
g_0,4.41,5.31,4.89,5.22,6.33,4.35,0.9,1.05,2.95,0.9,0.86,0.84,0.59,1.1,0.99,1.2
e_0,9.24,6.7,5.25,4.64,3.84,4.76,1.1,0.95,1.28,0.86,0.86,0.52,0.71,0.98,0.53,0.32
