,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,0.83,0.94,0.88,0.71,0.44,0.42,0.48,0.48,0.45,0.35,0.31,0.29,0.26,0.3
e_1,0.8,1.0,0.93,1.13,0.95,0.75,0.5,0.44,0.59,0.5,0.43,0.46,0.35,0.34,0.36,0.33
d_1,1.2,1.06,1.0,0.87,0.9,0.75,0.55,0.56,0.44,0.39,0.47,0.42,0.38,0.36,0.37,0.29
c_1,1.07,0.88,1.09,1.0,1.27,0.81,0.5,0.46,0.35,0.45,0.36,0.42,0.36,0.36,0.35,0.31
b_1,1.12,1.04,1.12,0.82,1.0,1.19,0.58,0.52,0.43,0.52,0.5,0.43,0.38,0.42,0.38,0.37
a_1,1.42,1.38,1.32,1.21,0.85,1.0,0.74,0.6,0.59,0.61,0.64,0.53,0.5,0.46,0.44,0.43
h_1,2.32,2.03,1.89,1.89,1.73,1.43,1.0,0.87,0.94,0.96,0.87,0.79,0.7,0.75,0.65,0.68
c_0,2.33,2.32,1.76,2.18,1.85,1.61,1.14,1.0,1.12,1.02,1.2,0.87,0.9,0.77,0.76,0.69
d_0,2.06,1.77,2.22,2.95,2.21,1.65,1.08,0.91,1.0,1.11,0.9,0.93,0.81,0.78,0.74,0.76
g_1,2.22,1.96,2.63,2.24,2.0,1.64,1.01,1.02,0.94,1.0,0.89,1.09,0.78,0.68,0.74,0.77
b_0,2.29,2.4,2.04,2.75,1.99,1.61,1.11,0.85,1.17,1.09,1.0,0.94,1.04,0.79,0.72,0.73
f_0,2.89,2.2,2.32,2.46,2.32,1.87,1.24,1.13,1.13,0.89,0.99,1.0,0.89,0.85,1.18,0.7
a_0,3.07,2.8,2.63,2.64,2.69,1.98,1.38,1.17,1.29,1.22,1.01,1.16,1.0,1.05,0.98,0.96
h_0,3.33,2.86,2.88,2.84,2.51,2.19,1.3,1.29,1.34,1.49,1.27,1.12,0.97,1.0,0.92,1.0
e_0,3.84,2.85,2.68,2.83,2.68,2.34,1.53,1.34,1.41,1.35,1.4,0.86,1.09,1.05,1.0,0.86
g_0,3.39,2.95,3.53,3.22,2.6,2.37,1.5,1.41,1.4,1.32,1.3,1.36,1.03,0.98,1.14,0.99
