,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.67,1.31,1.92,2.17,2.15,1.88,0.89,1.16,1.02,0.78,0.83,0.78,0.65,0.78,1.41,0.59
f_1,2.31,0.66,1.55,2.05,2.47,2.0,0.66,0.84,1.03,0.74,0.7,1.48,0.43,0.64,0.63,0.71
d_1,2.6,2.37,0.65,2.54,1.77,1.73,1.08,1.39,0.63,0.81,0.7,0.88,0.6,0.61,0.72,0.42
c_1,1.92,2.45,2.81,0.64,2.26,1.74,1.0,0.48,1.28,1.3,0.87,0.79,0.59,0.83,0.71,0.61
b_1,2.41,2.26,3.16,1.28,0.63,3.38,0.98,0.74,0.95,1.28,2.18,0.71,0.59,0.91,0.68,0.59
a_1,2.86,2.61,2.74,3.05,1.37,0.58,1.38,0.94,1.13,0.89,1.08,0.84,0.95,1.41,1.1,0.88
h_1,2.73,3.19,2.42,2.72,2.75,2.29,0.59,1.19,1.02,0.87,1.01,0.9,1.62,0.81,0.89,0.98
d_0,1.53,3.14,4.78,3.36,3.59,3.19,1.25,0.67,1.39,0.83,0.9,0.92,0.95,0.86,0.88,0.96
g_1,2.93,3.18,3.42,3.0,2.58,2.25,1.22,1.24,0.56,1.12,0.92,1.1,0.73,1.29,0.96,1.0
c_0,3.03,2.75,1.92,6.05,2.94,3.03,1.69,1.46,1.32,0.64,1.15,1.06,0.93,1.15,0.78,0.88
b_0,2.8,3.11,2.66,3.41,5.18,2.48,1.38,1.19,1.69,0.69,0.64,1.19,1.08,1.06,1.14,0.96
f_0,3.13,4.48,3.16,3.12,2.75,2.64,1.55,1.31,0.97,1.0,0.96,0.62,1.08,0.95,1.02,0.76
h_0,2.94,4.38,3.76,3.43,3.22,2.53,2.37,1.27,1.49,1.44,1.09,1.11,1.73,1.06,0.78,1.22
a_0,2.63,4.15,3.57,4.28,3.76,4.84,1.84,1.19,1.33,0.96,0.83,1.19,1.18,0.6,1.0,0.85
e_0,4.63,4.53,3.16,3.85,3.87,2.94,1.62,1.21,1.41,1.42,1.05,0.72,1.35,1.36,0.61,0.98
g_0,3.79,3.48,4.05,3.79,3.79,2.93,1.14,1.27,2.35,1.08,1.14,1.44,0.94,1.34,1.07,1.59
