,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.5,0.51,0.61,0.48,0.32,0.42,0.34,0.35,0.54,0.35,0.37,0.32,0.23,0.21,0.28
f_1,0.87,0.95,0.53,0.53,0.38,0.3,0.35,0.32,0.34,0.35,0.33,0.24,0.26,0.24,0.17,0.26
d_1,0.58,0.64,0.96,0.46,0.4,0.31,0.42,0.32,0.55,0.31,0.4,0.33,0.32,0.25,0.26,0.27
c_1,0.54,0.6,0.54,0.95,0.8,0.3,0.35,0.32,0.26,0.32,0.28,0.3,0.32,0.26,0.21,0.25
b_1,0.58,0.65,0.64,0.47,0.95,0.69,0.42,0.35,0.4,0.32,0.27,0.29,0.34,0.22,0.25,0.3
a_1,0.66,0.74,0.79,0.73,0.41,0.94,0.49,0.37,0.41,0.48,0.45,0.37,0.46,0.23,0.31,0.36
h_1,0.8,1.04,0.87,0.79,0.72,0.43,0.8,0.59,0.5,0.47,0.47,0.42,0.38,0.39,0.36,0.51
g_1,0.75,0.8,1.25,0.72,0.69,0.5,0.59,0.79,0.56,0.43,0.48,0.69,0.5,0.4,0.39,0.37
c_0,0.93,0.99,0.86,0.82,0.6,0.52,0.63,0.54,0.71,0.57,0.81,0.49,0.52,0.45,0.41,0.48
d_0,0.73,0.86,0.69,1.35,0.85,0.46,0.61,0.56,0.46,0.71,0.48,0.51,0.47,0.42,0.38,0.45
b_0,0.97,0.98,0.86,0.94,0.64,0.43,0.68,0.53,0.49,0.63,0.72,0.54,0.58,0.67,0.43,0.47
f_0,0.72,0.93,0.98,1.03,0.83,0.54,0.68,0.53,0.62,0.62,0.6,0.71,0.58,0.46,0.76,0.4
h_0,1.04,1.38,1.07,0.84,0.76,0.5,0.58,0.63,0.64,0.61,0.53,0.56,0.49,0.46,0.46,0.63
a_0,1.09,1.06,1.19,0.95,0.92,0.52,0.71,0.62,0.65,0.58,0.52,0.54,0.61,0.63,0.4,0.52
e_0,0.81,1.25,1.06,1.23,0.92,0.55,0.71,0.55,0.59,0.66,0.67,0.52,0.56,0.52,0.67,0.51
g_0,0.96,1.08,1.41,0.94,0.82,0.55,0.7,0.58,0.69,0.58,0.63,0.78,0.5,0.47,0.49,0.48
