,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.02,0.79,0.64,0.87,0.72,0.82,1.05,1.5,0.97,0.95,1.0,0.97,0.92,1.02,0.96,0.66
f_1,1.35,2.15,0.71,0.76,0.6,0.52,0.78,1.02,0.89,0.94,0.99,0.58,0.91,0.97,0.89,0.56
d_1,0.71,0.84,2.26,0.6,0.69,0.69,1.04,0.67,0.93,1.6,1.18,1.05,1.07,1.06,1.05,1.18
c_1,0.7,0.74,0.73,2.23,1.26,0.77,0.91,0.87,0.81,0.5,0.72,0.8,0.99,0.81,0.89,1.01
b_1,0.66,0.72,0.77,0.74,2.4,1.37,0.91,0.81,0.88,0.89,0.62,1.07,0.92,0.65,0.83,1.11
a_1,0.64,0.74,0.87,0.88,0.85,3.37,0.94,0.94,0.91,1.06,1.01,1.08,1.02,0.76,0.96,0.98
h_1,0.74,1.14,0.96,0.77,0.68,0.62,2.15,1.02,1.34,1.0,0.94,1.04,0.77,1.2,1.65,1.09
d_0,0.8,0.84,0.59,1.52,0.86,0.77,0.91,1.62,0.9,0.69,0.95,0.97,1.17,0.94,0.99,0.89
g_1,0.72,0.69,1.25,0.86,0.76,0.67,0.98,0.86,2.68,1.01,1.09,1.72,1.04,1.21,1.01,1.3
c_0,0.88,0.93,0.87,0.72,0.67,0.82,1.05,1.14,1.17,1.68,2.16,1.21,1.23,1.44,1.26,1.12
b_0,0.96,0.93,0.87,0.93,0.6,0.44,1.25,1.02,1.31,0.95,2.04,1.2,1.32,2.42,1.11,0.94
f_0,0.58,0.61,1.11,0.95,0.85,0.81,1.1,1.02,1.21,0.98,1.08,2.0,1.23,1.1,1.26,2.68
h_0,0.85,1.16,0.9,0.83,0.86,0.66,0.74,0.89,1.41,0.92,1.08,1.04,0.86,1.08,1.33,1.1
a_0,0.77,1.06,1.02,0.88,0.65,0.4,1.29,1.05,1.21,1.09,1.21,1.29,1.4,2.56,1.5,1.04
g_0,0.67,0.75,1.53,0.82,0.84,0.75,0.91,0.74,0.84,1.04,1.03,1.69,1.06,0.88,0.99,1.3
e_0,0.58,1.03,1.07,0.88,0.79,0.68,1.28,0.89,1.23,1.06,1.2,1.15,1.21,1.1,1.35,2.62
