,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.78,1.1,0.64,0.61,0.49,0.47,0.79,0.78,0.86,0.88,0.33,0.87,0.67,1.06,0.67,0.95
e_1,0.62,2.76,0.49,0.74,0.67,0.62,0.93,1.73,0.89,0.92,1.0,0.98,1.05,1.02,0.38,0.84
d_1,0.64,0.73,3.07,0.44,0.46,0.65,0.9,0.39,0.86,1.81,1.01,1.18,0.9,0.94,1.17,0.97
c_1,0.61,0.47,0.55,3.16,1.12,0.55,0.86,1.0,0.76,0.3,0.96,0.75,0.9,0.95,1.08,1.12
b_1,0.7,0.47,0.67,0.58,3.43,1.12,0.83,0.8,0.86,0.74,1.09,0.32,0.83,0.9,1.04,0.86
a_1,0.72,0.57,0.61,0.65,0.62,5.06,0.94,0.96,0.85,0.87,0.93,1.05,0.48,0.82,0.93,0.79
h_1,0.98,0.67,0.83,0.77,0.67,0.61,2.94,0.96,1.57,1.18,1.02,1.03,1.09,0.72,0.91,1.58
d_0,0.75,0.66,0.38,1.63,0.71,0.46,1.16,2.16,1.0,0.84,1.04,1.24,1.13,1.23,1.14,1.36
g_1,0.54,0.68,1.32,0.6,0.68,0.74,1.06,0.9,3.78,0.9,1.5,1.23,1.16,1.23,1.19,0.74
c_0,0.95,0.7,0.79,0.39,0.58,0.72,1.32,1.03,1.29,2.41,1.41,2.42,1.74,1.29,1.34,1.27
f_0,0.46,0.63,0.89,0.95,0.71,0.73,1.19,1.17,1.23,1.26,2.69,1.42,1.52,1.36,2.72,1.17
b_0,0.88,0.71,0.92,0.79,0.46,0.36,1.23,1.02,1.09,1.2,1.33,2.87,2.91,1.29,1.12,1.19
a_0,0.76,0.74,0.99,0.74,0.77,0.19,1.29,1.01,1.23,1.15,1.41,1.09,3.11,1.28,1.3,1.27
h_0,1.04,0.71,0.93,0.91,0.67,0.64,0.61,1.06,1.31,1.11,1.06,1.13,1.09,0.55,1.24,1.6
e_0,0.67,0.39,0.87,0.94,0.87,0.89,1.13,1.01,1.13,1.1,1.19,1.15,1.4,1.29,3.46,1.16
g_0,0.59,0.71,1.24,0.81,0.55,0.7,1.22,0.98,0.65,1.0,2.17,1.06,1.18,1.16,1.38,0.65
