,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.21,0.03,0.02,0.03,0.02,0.01,0.06,0.05,0.05,0.11,0.06,0.06,0.11,,0.07,0.04
f_1,0.05,2.22,0.03,0.03,0.02,0.02,0.06,0.04,0.07,0.07,,0.06,0.1,0.03,0.05,0.03
d_1,0.02,0.03,2.32,0.03,0.03,0.02,0.05,0.04,0.12,,0.05,0.07,0.09,0.05,0.09,0.03
c_1,0.02,0.04,0.03,2.39,0.04,0.02,0.06,0.03,,0.08,0.06,0.05,0.11,0.05,0.07,0.04
b_1,0.03,0.03,0.02,0.02,2.61,0.04,0.07,0.03,0.06,0.07,0.06,,0.08,0.05,0.07,
a_1,0.04,0.03,0.03,0.03,0.03,2.95,0.06,0.05,0.07,0.06,0.05,0.04,0.07,,0.06,
h_1,0.1,0.17,0.11,0.09,0.12,0.07,2.68,0.3,0.25,0.2,0.21,0.21,,0.16,0.23,0.2
g_1,0.15,0.07,0.18,0.09,0.07,0.1,0.18,3.0,0.25,0.22,0.27,0.22,0.24,0.19,,0.19
c_0,0.15,0.14,0.16,,0.11,0.13,0.22,0.27,1.99,0.29,0.35,0.55,0.37,0.23,0.38,0.24
d_0,0.14,0.17,,0.26,0.14,0.13,0.3,0.21,0.24,1.91,0.35,0.27,0.39,0.22,0.38,0.27
f_0,0.17,,0.11,0.16,0.13,0.11,0.28,0.19,0.3,0.4,2.21,0.28,0.27,0.44,0.42,0.26
b_0,0.15,0.12,0.12,0.15,,0.1,0.3,0.31,0.28,0.35,0.24,2.25,0.32,0.28,0.34,0.43
h_0,0.23,0.3,0.2,0.23,0.18,0.22,,0.43,0.47,0.45,0.37,0.41,,0.38,0.69,0.3
e_0,,0.16,0.16,0.17,0.09,,0.31,0.28,0.28,0.33,0.44,0.2,0.44,2.61,0.32,
g_0,0.16,0.17,0.37,0.19,0.22,0.13,0.4,,0.56,0.47,0.56,0.26,0.6,0.51,,0.28
a_0,0.13,0.16,0.2,0.14,,,0.21,0.24,0.29,0.31,0.3,0.34,0.34,,0.42,2.76
