,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.13,11.76,13.4,12.09,12.16,9.56,2.53,1.82,2.27,12.82,2.49,1.83,2.88,1.48,2.33,1.25
f_1,10.47,1.14,10.16,14.5,11.35,9.61,2.46,3.82,1.93,2.28,2.17,9.11,1.88,1.23,1.71,2.06
e_1,13.84,6.33,1.14,13.47,12.27,14.64,4.5,3.34,2.74,2.57,3.98,2.44,2.38,1.61,8.8,1.66
c_1,15.13,12.73,10.48,1.14,11.63,12.01,4.32,3.9,8.88,1.23,2.74,2.87,2.6,2.28,2.67,1.49
b_1,18.4,14.67,14.76,6.95,1.15,13.99,4.64,3.92,3.11,3.72,10.02,2.57,2.65,2.04,3.49,2.44
a_1,22.88,18.37,29.66,26.49,11.53,1.15,6.68,7.63,5.77,4.27,5.1,5.01,27.6,3.18,4.4,3.49
h_1,22.04,30.99,24.25,22.89,31.13,26.77,1.87,10.64,5.08,6.22,4.6,5.4,5.67,11.47,4.21,3.66
g_1,32.75,36.0,35.34,34.84,29.85,28.83,6.58,1.89,5.72,8.16,7.1,6.7,6.0,3.36,5.95,16.64
c_0,15.52,44.55,31.05,128.2,43.21,31.23,10.72,11.51,2.62,8.49,6.84,5.79,7.96,4.49,7.04,4.31
d_0,96.49,47.52,15.97,38.15,31.81,44.62,12.58,13.76,7.03,2.7,5.97,8.06,6.47,4.92,6.91,4.95
b_0,31.04,39.6,35.34,39.09,125.87,62.47,9.54,11.7,4.62,8.05,2.52,7.41,9.41,6.66,7.9,5.46
f_0,36.43,127.29,34.97,40.57,38.6,41.64,9.75,8.07,6.37,7.85,5.67,2.66,6.57,6.77,7.59,4.41
a_0,48.24,60.41,52.73,54.32,78.24,,12.23,15.26,9.93,12.82,5.39,10.49,2.78,7.51,7.04,7.79
h_0,53.28,48.82,66.44,46.45,50.79,42.59,36.17,20.65,11.25,11.42,9.2,11.35,8.81,19.67,9.67,7.32
e_0,45.77,89.1,132.88,55.26,50.79,60.45,13.78,13.25,12.5,10.64,9.05,6.18,11.5,8.26,2.87,7.47
g_0,51.74,84.86,65.14,60.47,59.08,74.96,13.35,58.5,10.71,11.21,9.67,10.3,12.55,6.88,9.21,15.25
