,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.41,0.97,0.6,0.99,0.87,0.73,0.48,0.55,0.39,0.65,0.43,0.42,0.32,0.42,0.67,0.48
d_1,1.03,0.4,0.96,0.95,0.83,0.84,0.46,0.8,0.41,0.32,0.4,0.34,0.33,0.22,0.41,0.37
f_1,0.91,0.88,0.4,0.91,0.73,0.86,0.39,0.34,0.38,0.5,0.36,0.59,0.27,0.44,0.4,0.42
c_1,0.72,1.01,0.82,0.4,1.22,0.81,0.47,0.24,0.52,0.43,0.37,0.43,0.35,0.31,0.38,0.34
b_1,0.87,0.92,1.18,0.49,0.37,1.47,0.47,0.41,0.43,0.51,0.56,0.34,0.39,0.35,0.37,0.34
a_1,1.17,0.9,0.79,1.08,0.48,0.3,0.53,0.44,0.39,0.66,0.55,0.44,0.37,0.35,0.34,0.6
h_1,0.79,0.83,0.92,0.74,0.84,0.64,0.25,0.36,0.37,0.44,0.31,0.31,0.41,0.28,0.34,0.34
d_0,0.44,1.09,0.9,1.06,0.87,0.73,0.44,0.26,0.33,0.45,0.39,0.33,0.3,0.31,0.39,0.33
c_0,0.8,0.49,0.88,1.28,0.85,0.74,0.45,0.48,0.26,0.42,0.42,0.36,0.3,0.31,0.38,0.33
g_1,0.71,0.84,0.82,0.82,0.77,0.67,0.36,0.38,0.4,0.22,0.42,0.43,0.23,0.36,0.36,0.32
b_0,0.78,0.67,0.91,0.96,1.2,0.63,0.43,0.33,0.22,0.38,0.23,0.32,0.31,0.32,0.3,0.36
f_0,0.73,0.73,1.28,0.82,0.89,0.68,0.44,0.4,0.34,0.28,0.35,0.23,0.31,0.23,0.33,0.31
h_0,0.74,0.74,0.74,0.82,0.75,0.78,0.52,0.36,0.34,0.55,0.33,0.33,0.39,0.31,0.26,0.29
g_0,0.6,0.9,0.86,0.88,0.75,0.76,0.36,0.39,0.34,0.5,0.32,0.33,0.24,0.41,0.3,0.3
e_0,1.03,0.57,0.96,0.81,1.0,0.84,0.41,0.41,0.34,0.35,0.4,0.24,0.35,0.32,0.19,0.29
a_0,0.71,0.71,0.85,0.9,0.9,1.1,0.42,0.34,0.34,0.45,0.22,0.37,0.35,0.34,0.4,0.2
