,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.83,0.9,0.94,0.72,0.72,0.51,0.44,0.65,0.44,0.46,0.43,0.39,0.38,0.29,0.46
f_1,1.21,1.0,1.01,0.89,0.74,0.76,0.45,0.59,0.42,0.37,0.41,0.41,0.34,0.26,0.38,0.22
d_1,1.11,0.99,1.0,0.95,0.89,0.74,0.58,0.38,0.38,0.57,0.48,0.35,0.34,0.37,0.26,0.26
c_1,1.07,1.12,1.06,1.0,1.3,0.57,0.49,0.44,0.31,0.34,0.36,0.38,0.37,0.41,0.35,0.34
b_1,1.39,1.35,1.13,0.77,1.0,1.09,0.5,0.5,0.48,0.47,0.33,0.61,0.41,0.4,0.31,0.29
a_1,1.38,1.32,1.34,1.76,0.92,1.0,0.96,0.61,0.66,0.64,0.55,0.47,0.56,0.55,0.4,0.54
h_1,2.0,2.22,1.78,2.04,1.95,1.03,1.0,0.99,0.85,0.88,0.89,0.78,0.62,0.79,0.8,0.7
g_1,2.12,1.72,2.63,2.34,1.97,1.57,1.01,1.0,0.83,0.89,0.76,0.97,0.63,0.57,0.6,0.67
d_0,1.56,2.4,2.83,3.28,1.99,1.48,1.16,1.27,1.0,0.93,0.93,0.93,0.65,0.86,0.7,0.68
c_0,2.18,2.92,1.74,2.76,2.08,1.74,1.11,1.12,1.07,1.0,1.3,1.14,0.87,0.88,0.79,0.67
b_0,2.21,2.43,1.95,2.72,2.6,1.95,1.15,1.31,1.09,0.77,1.0,1.05,1.14,1.02,0.9,0.7
f_0,2.19,2.54,2.62,2.6,1.75,1.97,1.37,1.04,1.09,0.89,0.99,1.0,0.97,1.23,0.59,1.14
a_0,2.55,2.9,3.12,2.93,2.46,,1.61,1.55,1.51,1.08,0.92,1.06,1.0,0.77,0.94,1.13
h_0,2.44,4.03,2.7,2.57,2.52,1.81,1.26,1.76,1.16,1.19,1.02,0.85,1.24,1.0,1.01,0.75
g_0,3.21,2.74,4.09,2.84,3.15,2.32,1.25,1.73,1.43,1.29,1.15,1.7,1.07,1.01,1.0,0.94
e_0,1.85,4.54,3.49,3.2,3.37,1.92,1.44,1.54,1.38,1.57,1.39,0.83,0.88,1.24,1.01,1.0
