,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,103.74,12.2,14.9,16.61,29.25,,1874.88,3021.71,5603.41,,6302.66,7079.52,22379.45,20397.24,20162.58,28124.26
e_1,9.64,109.24,10.74,22.44,23.96,90.97,1589.51,3217.73,3114.81,8984.57,6139.97,5476.39,20783.44,21632.82,,27631.39
f_1,11.22,19.33,113.73,26.16,30.25,78.22,1380.51,3047.98,3465.08,4590.74,6218.79,,18944.71,16666.31,17271.01,18801.66
c_1,12.03,12.02,9.48,168.79,40.59,61.4,1568.98,2500.66,,3800.28,4504.27,7036.28,16364.07,,,30603.91
b_1,8.57,10.03,9.58,12.22,228.51,,1386.85,2408.86,2968.39,3669.44,,4709.8,9196.63,12038.82,19026.53,24231.98
a_1,,6.87,7.41,9.76,,510.26,752.48,2027.36,1481.09,3178.21,2924.44,4634.7,14375.18,,,14881.87
h_1,5.28,5.08,7.52,8.9,16.41,43.57,2778.13,2016.08,1604.97,2556.89,2399.75,2794.49,,6890.91,9266.14,18359.8
g_1,5.93,4.2,3.21,9.43,12.39,24.76,486.88,4798.23,1609.94,1588.79,2365.26,3893.59,6683.07,5884.53,8981.61,
c_0,4.64,5.85,6.25,,10.68,38.1,664.69,1160.14,3890.97,2351.01,4486.06,3161.44,9866.56,6479.85,7322.93,11148.49
d_0,,3.47,5.62,13.58,13.68,31.64,660.79,1316.2,1342.72,5108.86,2550.99,2596.79,7506.75,6538.81,8698.47,10552.58
b_0,4.02,5.32,4.76,6.64,,21.79,708.9,1063.0,1322.61,1508.91,5813.26,1962.54,9015.29,12424.71,5692.56,14763.28
f_0,4.62,3.96,,6.15,10.2,31.8,701.32,879.33,1333.08,1833.51,2229.91,6657.4,8509.16,7070.63,10999.92,7064.65
h_0,3.31,4.3,5.58,7.02,14.34,16.07,,1404.58,1275.31,1764.99,1264.78,1800.28,,5407.0,5510.36,11446.08
a_0,2.51,2.73,3.55,,6.66,,539.93,812.09,1396.08,1093.28,1116.76,1954.7,6372.54,14289.58,,6498.11
e_0,3.32,,3.36,,5.81,,423.35,655.83,1010.53,1495.07,1354.5,1714.61,5645.21,,15722.56,7870.51
g_0,4.94,3.11,4.21,4.78,7.73,28.21,434.0,,1239.93,1318.98,1122.1,3402.49,4220.51,5068.97,4313.41,
