,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,34.61,0.13,0.07,0.08,0.07,0.06,0.31,0.26,0.47,0.36,0.29,,0.62,0.28,0.42,0.26
e_1,0.07,35.18,0.06,0.07,0.05,0.05,0.26,0.26,0.39,0.76,0.44,0.36,0.58,0.36,0.43,
d_1,0.06,0.06,38.91,0.05,0.07,0.09,0.27,0.28,0.75,,0.35,0.44,0.72,0.24,0.57,0.39
c_1,0.07,0.06,0.07,42.91,0.13,0.07,0.29,0.33,,0.39,0.28,0.43,0.62,0.45,0.51,0.31
b_1,0.07,0.09,0.09,0.07,54.48,0.11,0.21,0.27,0.26,0.34,,0.32,0.66,0.37,0.52,0.33
a_1,0.05,0.07,0.08,0.07,0.08,78.06,0.32,,0.29,0.36,0.34,0.33,0.76,,0.6,0.53
h_1,0.37,0.22,0.23,0.2,0.34,0.21,26.65,1.71,1.33,1.74,1.4,1.17,,1.32,2.99,1.3
g_1,0.29,0.19,0.36,0.28,0.18,0.33,1.28,34.5,1.32,1.27,1.51,1.92,1.86,1.25,,1.57
c_0,0.35,0.31,0.31,,0.32,0.4,2.13,1.61,18.2,1.03,3.99,2.01,3.25,1.4,3.0,1.87
d_0,0.34,0.41,,0.73,0.4,0.4,1.62,0.99,1.87,17.35,1.71,2.08,2.69,1.21,3.84,1.87
b_0,0.3,0.32,0.37,0.33,,0.29,2.02,1.7,1.31,2.32,19.6,1.56,2.72,3.79,3.53,1.79
f_0,,0.22,0.41,0.37,0.42,0.36,1.38,1.31,2.23,2.09,1.95,22.21,2.76,2.7,2.08,4.45
h_0,0.69,0.51,0.45,0.57,0.46,0.44,,2.71,3.02,2.64,3.29,3.48,,2.75,7.97,3.06
a_0,0.46,0.28,0.4,0.29,0.28,,1.7,1.53,1.3,2.2,1.63,2.14,2.46,29.72,2.51,2.7
g_0,0.4,0.45,0.81,0.48,0.31,0.78,1.57,,3.97,3.22,3.23,4.73,5.13,2.9,,
e_0,0.39,,0.29,0.33,0.5,,1.31,1.48,2.01,2.25,2.06,1.7,4.0,2.71,,34.39
