,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.76,3.84,1.86,2.24,2.06,1.91,8.0,7.58,9.39,11.05,10.64,6.15,10.82,15.92,8.75,14.72
e_1,2.42,6.11,2.08,2.74,2.02,2.12,8.41,8.99,10.39,19.11,11.18,10.88,12.1,16.35,7.62,14.6
d_1,2.45,2.09,6.27,2.06,2.1,2.3,8.06,8.14,18.29,6.03,12.6,10.71,11.83,16.35,11.82,16.34
c_1,2.21,1.89,2.13,6.95,4.11,2.38,8.04,7.7,5.56,9.22,8.6,12.26,10.63,15.32,10.43,16.07
b_1,2.36,2.07,2.35,2.13,7.68,4.4,8.23,7.9,9.75,8.74,6.3,11.16,7.87,15.2,10.69,14.91
a_1,2.18,2.0,2.52,2.59,2.44,11.36,8.45,7.24,10.01,9.39,9.1,9.94,7.55,15.73,11.69,18.71
h_1,3.05,2.39,2.62,2.45,2.35,2.35,16.59,10.96,9.34,10.54,11.09,12.53,13.73,15.61,11.88,23.16
g_1,1.92,2.1,3.69,2.49,2.13,2.34,9.27,21.34,12.64,10.33,11.02,18.08,12.75,20.37,14.79,15.07
c_0,2.82,2.58,2.56,1.81,2.0,2.54,9.85,8.72,18.58,11.75,22.68,11.93,16.0,18.0,13.96,20.58
d_0,2.42,2.14,1.96,4.49,2.49,2.29,8.74,8.7,7.45,18.55,10.09,12.36,12.08,19.11,12.06,15.2
b_0,2.72,2.42,2.42,3.01,1.89,1.61,10.95,9.41,10.71,12.8,21.43,11.62,26.02,20.75,15.51,20.9
f_0,2.3,2.09,2.8,2.65,2.47,2.49,9.41,9.7,10.52,12.07,12.99,22.47,12.53,20.29,27.42,19.24
a_0,2.51,2.37,2.78,2.88,2.6,1.38,9.85,9.84,11.63,11.8,11.67,11.2,25.13,22.56,13.22,21.01
h_0,3.02,2.26,2.78,2.49,2.66,2.26,7.1,11.38,11.45,10.58,10.22,11.97,12.28,10.85,12.9,23.34
e_0,3.06,1.77,2.76,2.55,2.63,1.81,10.51,9.09,12.32,11.0,11.78,11.77,13.71,23.06,29.69,18.46
g_0,2.28,2.05,3.47,2.49,2.74,2.37,8.25,6.24,11.09,9.54,10.65,18.27,14.54,18.49,15.21,16.03
