,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,12.37,1.54,0.63,0.61,0.51,0.64,0.83,0.79,0.73,0.88,0.93,0.52,0.83,0.84,0.57,0.92
e_1,0.69,13.14,0.43,0.87,0.68,0.63,1.08,0.79,0.83,2.58,1.08,1.04,0.96,1.0,0.68,0.9
d_1,0.78,0.53,13.88,0.51,0.56,0.7,1.03,1.05,2.33,0.48,1.36,1.24,1.18,1.09,1.08,1.03
c_1,0.5,0.66,0.63,14.18,1.87,0.57,0.71,0.67,0.38,0.77,0.55,0.8,0.92,0.8,0.86,0.85
b_1,0.68,0.48,0.69,0.64,14.32,1.43,0.77,0.88,0.95,0.87,0.58,0.9,0.78,1.15,1.08,1.02
a_1,0.73,0.61,0.77,0.75,0.54,20.7,1.08,0.94,1.16,0.9,0.94,1.02,0.6,1.16,1.13,1.16
h_1,1.2,0.67,1.1,0.66,0.57,0.59,3.92,1.58,1.18,0.95,1.16,0.93,0.97,0.74,1.13,1.58
g_1,0.74,0.54,1.79,0.76,0.59,0.66,0.85,5.34,0.85,0.68,1.03,2.26,1.02,1.09,1.43,0.75
c_0,0.86,0.69,1.11,0.55,0.44,0.73,1.38,1.33,2.83,1.0,3.38,1.24,1.53,1.11,1.34,1.24
d_0,0.65,0.77,0.41,2.17,0.88,0.63,1.28,1.14,0.57,2.38,0.95,0.98,0.98,0.98,0.91,1.03
b_0,0.95,0.81,1.0,0.81,0.34,0.5,1.1,1.4,1.12,1.02,3.02,1.4,3.75,1.36,1.17,1.08
f_0,0.6,0.63,0.89,0.92,0.75,0.65,1.07,1.47,1.32,1.04,1.13,2.74,1.16,1.4,3.22,0.98
a_0,0.92,0.7,1.06,0.8,0.8,0.41,1.64,1.34,1.02,0.94,1.26,1.19,3.16,1.42,1.34,1.15
h_0,1.27,0.71,1.06,0.67,0.52,0.88,0.67,2.0,1.0,0.91,1.14,1.02,0.93,0.66,1.23,1.47
e_0,0.89,0.3,1.18,0.83,0.62,0.93,1.39,1.24,0.94,1.01,1.0,1.2,1.13,1.08,4.31,1.43
g_0,0.56,0.51,1.97,0.66,0.75,0.75,1.28,0.97,1.18,0.7,1.14,1.95,1.06,0.93,1.44,0.71
