,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.57,0.97,1.02,0.87,0.83,0.27,0.31,0.21,0.2,0.19,0.28,0.19,0.13,0.23,0.13
f_1,0.88,0.41,0.97,1.02,0.92,0.84,0.2,0.28,0.2,0.2,0.2,0.26,0.17,0.1,0.16,0.16
c_1,0.8,0.96,0.4,1.05,1.01,0.94,0.29,0.27,0.12,0.21,0.25,0.2,0.2,0.14,0.17,0.13
d_1,1.14,0.96,0.99,0.39,1.02,0.84,0.25,0.18,0.32,0.2,0.19,0.19,0.18,0.12,0.17,0.09
b_1,1.09,1.15,0.67,1.09,0.38,1.03,0.3,0.33,0.19,0.32,0.28,0.19,0.19,0.16,0.23,0.16
a_1,1.16,1.3,1.08,1.18,0.65,0.34,0.42,0.38,0.28,0.36,0.27,0.29,0.36,0.19,0.33,0.19
h_1,1.72,2.22,1.63,1.56,1.64,1.34,0.29,0.47,0.4,0.38,0.36,0.35,0.35,0.31,0.34,0.28
g_1,2.16,1.97,1.87,1.77,1.99,1.51,0.45,0.26,0.43,0.41,0.4,0.39,0.43,0.2,0.36,0.36
d_0,1.33,1.78,2.09,2.43,2.24,1.94,0.66,0.75,0.31,0.48,0.43,0.47,0.4,0.33,0.44,0.29
b_0,2.01,1.93,2.6,1.47,2.55,1.9,0.56,0.51,0.46,0.28,0.24,0.42,0.39,0.26,0.35,0.24
c_0,2.35,2.12,3.01,1.21,2.14,2.21,0.6,0.54,0.71,0.39,0.28,0.41,0.38,0.31,0.42,0.28
f_0,2.22,3.16,1.9,1.97,2.31,2.11,0.63,0.4,0.44,0.42,0.42,0.27,0.43,0.32,0.38,0.21
a_0,2.44,2.64,2.6,2.07,3.14,2.66,0.66,0.74,0.54,0.29,0.37,0.48,0.27,0.36,0.38,0.31
h_0,2.49,2.44,2.64,2.36,2.31,2.05,0.83,0.72,0.52,0.49,0.45,0.49,0.42,0.47,0.39,0.36
e_0,3.43,3.73,2.27,2.13,2.78,2.33,0.66,0.54,0.54,0.56,0.5,0.28,0.57,0.4,0.26,0.31
g_0,2.57,2.94,2.58,2.73,2.63,2.6,0.61,1.01,0.63,0.52,0.52,0.56,0.43,0.32,0.5,0.45
