,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.68,0.76,0.52,0.81,0.55,0.52,0.97,0.98,0.83,1.75,1.01,0.9,1.05,1.07,0.49,0.89
f_1,1.13,2.65,0.58,0.66,0.5,0.64,0.82,0.76,0.94,0.96,0.85,0.48,1.06,0.9,0.73,0.79
d_1,0.57,0.72,2.8,0.48,0.69,0.61,1.0,0.95,1.77,0.38,1.13,0.96,0.89,0.94,0.98,1.04
c_1,0.59,0.5,0.67,2.79,1.25,0.61,0.83,0.74,0.29,0.87,0.61,1.05,0.68,0.86,0.98,0.91
b_1,0.59,0.76,0.67,0.55,2.95,1.2,0.84,0.82,0.88,0.81,0.57,0.88,0.78,0.98,1.14,0.91
a_1,0.67,0.58,0.78,0.77,0.57,4.37,0.98,0.98,0.79,0.9,1.04,1.01,0.49,1.02,0.88,1.01
h_1,0.65,1.04,0.87,0.91,0.76,0.72,2.52,1.38,0.99,0.96,1.21,1.03,1.15,0.77,1.03,1.63
g_1,0.62,0.68,1.24,0.97,0.71,0.61,1.2,3.34,1.09,0.93,1.12,1.87,1.16,1.04,1.26,0.85
c_0,0.81,0.93,0.92,0.52,0.67,0.66,1.09,1.27,2.21,0.94,2.4,1.24,1.74,1.4,1.23,1.42
d_0,0.83,0.88,0.42,1.53,0.76,0.72,1.15,1.01,0.73,2.13,1.02,1.15,0.93,1.0,1.03,0.95
b_0,0.72,0.99,0.95,0.9,0.37,0.62,1.04,1.06,1.42,1.09,2.53,1.35,2.75,1.59,1.25,1.24
f_0,0.69,0.57,0.92,0.87,0.89,0.79,1.25,1.2,1.22,0.99,1.27,2.61,0.98,1.3,2.73,1.33
a_0,0.87,0.81,0.86,0.97,0.68,0.45,1.12,1.21,1.1,1.33,1.22,1.23,3.17,1.34,1.11,1.41
h_0,0.86,1.15,0.9,0.74,0.75,0.6,0.7,1.49,1.13,1.2,1.14,0.89,1.15,0.7,1.2,1.56
e_0,0.52,0.84,1.01,0.81,0.9,0.82,1.1,1.1,1.48,1.1,1.35,1.33,1.24,1.27,3.17,1.35
g_0,0.69,0.73,1.34,0.79,0.77,0.67,0.95,0.81,1.17,0.94,1.11,1.97,0.86,1.26,1.75,0.91
