,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10725.26,2811.55,5934.39,4324.56,6219.99,13239.55,3350123.95,8587117.89,6780957.0,10546815.88,19875294.07,10500255.34,68735493.83,80361934.16,79749360.6,205193429.7
d_1,2845.88,14949.54,2584.43,3376.43,6526.84,23390.77,3369584.04,3758243.86,8323576.82,23669852.16,19564494.76,31586000.5,96737600.28,132644469.85,175657970.85,226213266.2
e_1,2432.74,2836.84,14916.76,5236.8,5945.62,26384.06,3065328.42,17600578.1,6986705.41,11216283.76,20397308.85,33831074.29,87120989.29,92424732.74,82171192.12,205696594.03
c_1,2310.95,3046.35,2708.94,22362.86,11427.83,24912.9,2477733.52,9591991.5,7477301.83,4297839.69,15535964.6,29774046.94,84227308.79,103925976.18,111378840.02,227793632.25
b_1,1984.89,3790.28,2918.03,3729.38,38241.46,46908.6,3227636.37,7989586.26,6437067.65,10436726.87,5873425.29,27600895.11,94423041.37,65885801.56,132269455.06,248947250.28
a_1,2727.71,3312.17,3018.1,4023.24,7277.27,187761.99,3008073.08,9038288.71,7614476.81,12198876.1,15398659.63,31419930.24,90624900.45,44880618.41,190371544.69,210131594.61
h_1,3831.41,3428.86,3747.65,6403.49,6182.16,27538.34,11216006.35,9512301.77,12767433.94,14383019.96,24863384.58,36090424.81,66967681.88,113266121.22,180712876.49,374037869.85
d_0,2811.2,2206.88,3294.74,11044.19,7687.06,27696.09,4195749.8,22631638.31,7974362.18,10798076.66,30404784.07,43138533.92,90992255.92,132616133.07,187164203.97,256966937.51
g_1,2701.44,5557.86,2857.58,5344.7,7328.32,22292.47,4186991.66,10809564.75,31851368.53,13291719.19,24905543.77,61110789.59,115857622.39,144627228.28,193949249.29,176811553.32
c_0,3350.52,3596.67,4349.68,3282.35,5985.53,30326.56,4213329.57,12708262.06,9526275.97,32656540.64,52316821.22,47251827.77,113656993.66,138829405.94,219700494.16,310885620.18
b_0,3129.26,3848.08,3799.87,6319.56,3897.94,24880.96,4506839.04,12324815.54,10399637.14,14185836.95,51677862.73,37196508.02,128837477.93,288614718.52,255430332.31,303203203.08
f_0,2025.38,4180.8,3035.79,6346.97,9054.68,33119.0,3815849.07,12859503.62,9727607.02,17793866.67,24107215.8,93265043.69,105043924.61,129542477.91,435539065.56,301213432.06
h_0,4639.87,4045.94,3308.89,5456.13,7387.57,24234.08,2955626.71,11315819.15,13850207.99,13294833.71,21898683.77,39109110.42,58386697.55,115775989.19,184264930.58,371500772.51
a_0,2728.94,4136.8,3512.34,5701.14,7981.31,14686.21,5193287.42,13207897.42,8737780.34,18580542.88,24360975.96,46453389.68,148337331.59,394040532.48,190214375.2,378174184.55
e_0,3731.45,3929.24,2033.19,6279.73,6083.17,30751.39,4693303.3,10515206.87,11810377.93,15662681.49,27232174.08,39555858.23,130396161.21,190045125.18,603704223.2,286227298.81
g_0,2766.27,5754.75,3080.82,5705.04,8028.26,33459.32,3598642.69,10317364.52,4209376.94,15630690.72,25411841.59,61902820.19,86696886.19,153696030.83,226162273.4,170096996.93
