,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.49,0.18,0.13,0.14,0.15,0.18,0.2,0.17,,0.33,0.17,0.18,0.24,0.19,0.19,0.16
f_1,0.15,1.5,0.27,0.19,0.14,0.13,0.18,0.17,0.19,0.21,0.19,,0.22,0.17,0.23,0.11
e_1,0.2,0.15,1.5,0.15,0.14,0.15,0.18,0.18,0.31,0.22,0.21,0.21,0.18,0.14,0.16,
c_1,0.16,0.14,0.17,1.57,0.24,0.12,0.23,0.22,0.21,,0.14,0.22,0.22,0.15,0.21,0.21
b_1,0.2,0.19,0.19,0.14,1.6,,0.18,0.17,0.2,0.19,,0.21,0.2,,0.21,0.18
a_1,0.17,0.21,0.19,0.17,,1.75,0.27,,0.25,0.21,0.18,0.21,0.22,,0.21,
h_1,0.38,0.49,0.39,0.39,0.38,0.24,1.64,0.62,0.46,0.45,0.35,0.37,,0.42,0.63,0.29
g_1,0.58,0.39,0.39,0.41,0.42,,0.37,1.7,0.47,0.53,0.46,0.51,0.49,,,
d_0,,0.48,0.4,0.65,0.45,0.34,0.64,0.41,1.4,0.5,0.57,0.53,0.64,0.4,0.58,0.56
c_0,0.42,0.42,0.35,,0.47,0.4,0.55,0.42,0.69,1.38,0.85,0.53,0.62,0.51,0.5,0.59
b_0,0.53,0.49,0.42,0.53,,0.33,0.62,0.57,0.57,0.48,1.49,0.34,0.69,0.6,0.55,0.35
f_0,0.53,,0.44,0.38,0.48,0.38,0.62,0.5,0.6,0.62,0.67,1.48,0.57,0.49,0.4,0.81
h_0,0.58,0.84,0.64,0.46,0.62,0.48,,0.71,0.7,0.83,0.59,0.65,,0.56,0.8,0.47
a_0,0.42,0.57,0.59,0.6,,,0.57,,0.71,0.57,0.58,0.53,0.72,1.59,0.62,
g_0,0.86,0.58,0.79,0.54,0.57,0.46,0.57,,0.62,0.79,0.61,1.1,0.71,0.46,,
e_0,0.59,0.54,,0.36,0.44,,0.7,,0.54,0.51,0.84,0.5,0.84,,,1.69
