,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.34,1.1,1.25,1.48,3.18,16.2,21.91,33.33,30.09,38.34,38.29,63.44,71.88,82.56,104.51
e_1,0.75,1.0,1.08,1.46,1.43,3.29,20.26,26.31,34.08,49.93,40.38,44.79,84.26,81.53,98.96,110.67
d_1,0.91,0.93,1.0,0.86,1.15,2.62,16.14,29.52,19.91,40.28,38.19,40.39,62.47,70.72,94.54,71.09
c_1,0.79,0.69,1.16,1.0,1.52,1.9,14.38,15.28,24.63,19.34,28.3,33.27,58.37,63.81,69.37,80.98
b_1,0.68,0.69,0.87,0.66,1.0,3.73,13.29,18.94,24.46,24.15,31.22,28.1,55.13,50.53,70.45,82.49
a_1,0.31,0.31,0.38,0.52,0.27,1.0,6.36,9.81,10.47,10.78,17.24,12.22,25.16,34.53,32.4,37.99
h_1,0.06,0.05,0.06,0.07,0.07,0.16,1.0,1.29,1.95,1.99,2.79,2.17,4.36,3.94,4.77,6.64
c_0,0.04,0.04,0.03,0.06,0.05,0.11,0.76,1.0,0.94,1.35,2.32,1.67,2.72,3.4,4.04,3.74
g_1,0.03,0.03,0.05,0.04,0.04,0.1,0.51,1.05,1.0,1.09,1.13,1.73,2.2,3.19,3.1,4.35
d_0,0.03,0.02,0.03,0.05,0.04,0.09,0.51,0.71,0.93,1.0,1.15,1.05,1.87,2.23,2.41,3.07
b_0,0.03,0.02,0.03,0.04,0.03,0.06,0.34,0.46,0.88,0.87,1.0,0.98,1.77,3.09,2.62,3.03
f_0,0.03,0.02,0.02,0.03,0.04,0.08,0.49,0.59,0.57,0.86,1.06,1.0,1.92,2.07,4.03,1.89
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.23,0.37,0.48,0.52,0.56,0.5,1.0,1.14,1.29,1.88
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.3,0.33,0.42,0.34,0.46,0.86,1.0,1.23,1.41
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.24,0.33,0.39,0.4,0.23,0.76,0.74,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.26,0.24,0.31,0.35,0.54,0.51,0.73,0.81,1.0
