,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,107.17,77.5,88.08,113.97,170.8,473.74,10032.7,17360.05,32571.61,26372.73,43924.93,42000.95,117824.95,122296.67,124746.2,170944.04
e_1,60.49,112.49,71.89,156.52,200.86,500.58,9837.38,19283.48,20428.46,44441.45,32363.62,50030.49,126362.49,114920.92,107361.1,178033.41
f_1,62.47,109.04,117.07,131.58,172.26,404.8,7911.84,19299.03,20121.1,30506.25,34194.04,31737.1,110244.2,109254.68,84777.82,139056.86
c_1,61.75,54.93,62.24,172.71,242.17,436.74,8350.04,15439.56,13753.22,20933.45,21940.14,37600.91,92935.55,75831.21,86755.24,141041.5
b_1,58.08,48.57,65.49,82.53,233.08,577.97,7885.42,14009.65,15999.28,20152.41,21982.6,29056.79,84847.54,59859.54,94706.07,134988.41
a_1,42.14,41.66,49.13,69.69,79.55,516.94,5828.37,10575.79,11102.41,18089.0,18325.08,22383.18,75480.65,45222.62,73599.21,96073.4
h_1,18.46,17.91,23.84,33.54,46.83,120.41,3178.94,5369.04,5184.68,6931.17,8426.47,9323.09,27308.42,26355.31,29112.43,51417.46
g_1,19.22,12.69,12.87,26.27,39.59,98.28,2022.08,5452.31,4440.06,5174.93,6922.24,10391.24,22990.64,24616.24,28155.22,31949.59
c_0,13.59,15.79,16.12,25.44,32.93,103.3,2058.95,3979.37,5247.49,7115.22,10183.89,8497.28,25746.59,28092.61,24162.39,35895.76
d_0,10.8,12.39,14.83,35.63,36.65,83.7,1886.64,3667.57,2822.54,6553.14,5257.34,8220.68,22219.01,19014.49,22108.12,32520.15
b_0,13.23,13.64,13.64,24.17,24.96,77.05,1815.86,3578.28,3508.39,5488.26,7461.72,6630.57,22418.41,33406.73,20277.28,32244.52
f_0,12.31,9.59,13.32,20.59,30.95,96.65,1886.88,3180.06,3613.88,4499.48,5964.83,8650.84,21843.36,19470.82,34374.48,27575.23
h_0,9.41,9.22,11.74,16.23,22.82,50.2,1054.26,2731.62,2697.29,3279.03,3806.19,4629.09,13026.64,14428.51,11694.84,24237.1
a_0,9.01,9.06,9.53,17.72,22.15,56.31,1259.86,2381.03,2563.72,3602.64,3702.56,5032.53,14591.05,17389.4,12635.07,19885.6
e_0,8.95,8.07,10.72,15.46,21.79,55.9,1239.0,2177.3,2765.69,3255.69,4402.76,4183.66,16643.49,14070.94,18781.86,21476.44
g_0,9.69,7.45,9.1,13.61,17.56,54.4,1007.37,2058.55,2500.49,2837.84,3656.63,5642.14,11792.99,13438.05,12538.48,18022.96
