,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,6.18,4.29,2.66,2.58,2.45,2.82,10.42,9.58,14.6,12.2,9.17,13.44,18.48,10.27,15.27,18.97
e_1,3.04,6.19,3.59,2.33,2.84,3.13,9.65,9.75,22.41,11.99,13.82,13.01,18.76,10.66,14.68,20.39
c_1,2.77,2.53,6.51,2.67,5.09,2.49,10.63,10.33,11.71,8.46,12.86,9.83,19.61,14.71,13.77,20.26
d_1,3.03,2.63,2.19,6.73,2.56,2.73,11.35,10.39,10.7,24.2,13.45,16.66,20.44,15.94,15.16,25.08
b_1,2.85,2.73,2.86,2.52,7.59,5.69,11.44,9.45,11.99,11.03,12.53,9.41,18.19,14.78,12.14,20.79
a_1,3.06,3.07,3.27,2.88,2.32,11.47,10.96,11.76,14.79,11.43,14.83,14.6,19.59,15.78,11.21,18.21
h_1,3.87,2.84,2.85,3.19,2.8,2.69,18.97,13.91,13.85,12.55,13.72,14.57,18.04,14.56,14.56,26.58
g_1,2.78,2.79,2.84,4.42,2.73,2.88,11.27,22.48,12.1,15.32,20.06,15.83,20.2,18.07,15.64,18.78
d_0,3.08,2.79,4.92,2.16,3.45,3.0,11.09,11.89,18.78,9.92,14.83,13.68,21.7,13.69,15.88,19.68
c_0,3.49,3.05,2.71,3.34,2.42,2.91,10.63,11.95,14.68,21.97,12.88,27.13,24.48,19.27,20.09,27.03
f_0,2.67,2.58,3.38,3.45,3.25,3.29,12.02,11.12,14.23,13.4,22.73,16.47,22.49,30.18,15.2,24.16
b_0,3.46,3.05,3.16,3.63,2.03,2.43,10.86,13.07,15.73,14.96,13.36,23.94,25.6,15.77,30.76,22.51
h_0,3.98,2.8,3.05,3.2,2.92,2.64,10.06,15.31,14.73,13.23,13.69,16.19,19.79,15.85,17.73,27.13
e_0,3.34,2.53,2.81,3.44,3.26,3.2,12.0,12.75,13.04,15.28,17.05,18.59,25.08,29.49,15.71,22.58
a_0,3.48,2.62,3.25,3.59,2.82,2.25,11.56,13.86,15.02,15.09,14.78,16.1,25.47,16.53,28.07,23.61
g_0,2.69,2.63,2.96,4.1,3.21,2.8,11.14,10.16,14.37,15.19,19.88,17.24,22.66,20.25,18.48,17.64
