,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.94,0.44,0.47,0.35,0.35,0.29,0.29,0.15,0.21,0.41,0.27,0.25,0.24,0.21,0.19,0.21
e_1,0.39,0.94,0.38,0.5,0.36,0.31,0.29,0.46,0.26,0.25,0.26,0.27,0.28,0.21,0.15,0.22
f_1,0.44,0.67,0.94,0.41,0.3,0.3,0.24,0.26,0.26,0.25,0.13,0.22,0.19,0.18,0.13,0.17
c_1,0.46,0.42,0.45,0.94,0.56,0.24,0.25,0.24,0.22,0.15,0.23,0.18,0.28,0.17,0.16,0.26
b_1,0.48,0.42,0.45,0.4,0.94,0.5,0.32,0.25,0.23,0.28,0.24,0.17,0.24,0.15,0.22,0.26
a_1,0.52,0.49,0.41,0.49,0.39,0.94,0.38,0.37,0.31,0.34,0.34,0.32,0.33,0.15,0.28,0.25
h_1,0.74,0.56,0.97,0.72,0.5,0.35,0.74,0.42,0.54,0.38,0.34,0.37,0.3,0.3,0.28,0.41
d_0,0.59,0.59,0.71,1.18,0.69,0.5,0.46,0.63,0.34,0.32,0.38,0.38,0.4,0.24,0.27,0.36
g_1,1.04,0.65,0.64,0.65,0.6,0.43,0.32,0.49,0.74,0.41,0.55,0.42,0.43,0.36,0.35,0.23
c_0,0.66,0.73,0.86,0.59,0.5,0.42,0.56,0.56,0.39,0.66,0.45,0.82,0.47,0.37,0.37,0.47
f_0,0.79,0.65,0.64,0.82,0.68,0.48,0.51,0.51,0.44,0.41,0.64,0.46,0.48,0.34,0.56,0.33
b_0,0.82,0.71,0.95,0.88,0.34,0.35,0.48,0.54,0.4,0.34,0.45,0.64,0.48,0.6,0.35,0.34
h_0,0.95,0.72,1.15,0.72,0.63,0.46,0.37,0.5,0.48,0.43,0.44,0.44,0.36,0.3,0.33,0.45
a_0,0.93,0.77,0.93,0.77,0.63,0.34,0.61,0.58,0.35,0.53,0.55,0.36,0.54,0.62,0.4,0.43
e_0,1.03,0.49,1.0,0.9,0.61,0.49,0.63,0.58,0.43,0.49,0.41,0.47,0.53,0.39,0.62,0.47
g_0,1.22,0.72,0.86,0.69,0.61,0.51,0.51,0.45,0.41,0.48,0.72,0.54,0.5,0.38,0.35,0.37
