,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.45,0.6,0.64,0.62,0.56,0.32,0.34,0.27,0.33,0.28,0.34,0.28,0.25,0.33,0.27
f_1,0.64,0.41,0.58,0.62,0.55,0.56,0.25,0.32,0.25,0.28,0.26,0.25,0.26,0.19,0.2,0.23
d_1,0.63,0.64,0.4,0.54,0.59,0.54,0.29,0.26,0.29,0.31,0.27,0.26,0.24,0.21,0.28,0.17
c_1,0.51,0.59,0.71,0.37,0.67,0.53,0.34,0.28,0.29,0.17,0.26,0.26,0.25,0.21,0.28,0.24
b_1,0.56,0.63,0.58,0.42,0.35,0.71,0.42,0.36,0.3,0.28,0.32,0.28,0.27,0.23,0.28,0.23
a_1,0.62,0.62,0.63,0.57,0.37,0.3,0.36,0.35,0.32,0.31,0.33,0.28,0.32,0.29,0.26,0.25
h_1,0.57,0.64,0.57,0.58,0.47,0.49,0.24,0.32,0.26,0.28,0.23,0.24,0.23,0.23,0.24,0.22
g_1,0.56,0.58,0.58,0.62,0.55,0.48,0.26,0.22,0.26,0.26,0.25,0.26,0.24,0.19,0.26,0.24
c_0,0.62,0.65,0.42,0.75,0.59,0.49,0.31,0.29,0.22,0.36,0.29,0.25,0.25,0.22,0.28,0.2
d_0,0.41,0.55,0.65,0.72,0.61,0.54,0.34,0.3,0.27,0.22,0.26,0.26,0.28,0.22,0.31,0.26
b_0,0.54,0.6,0.53,0.65,0.67,0.48,0.32,0.29,0.18,0.27,0.21,0.22,0.28,0.23,0.25,0.19
f_0,0.52,0.66,0.58,0.57,0.53,0.55,0.3,0.24,0.24,0.26,0.28,0.2,0.25,0.23,0.35,0.17
a_0,0.55,0.58,0.53,0.6,0.68,0.56,0.33,0.31,0.24,0.26,0.16,0.23,0.2,0.2,0.24,0.17
h_0,0.53,0.62,0.57,0.59,0.55,0.47,0.33,0.3,0.25,0.26,0.22,0.22,0.22,0.25,0.23,0.22
e_0,0.62,0.78,0.51,0.56,0.57,0.54,0.31,0.26,0.24,0.26,0.26,0.14,0.25,0.2,0.17,0.19
g_0,0.57,0.6,0.57,0.54,0.56,0.51,0.26,0.32,0.26,0.25,0.25,0.25,0.28,0.19,0.25,0.21
