,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,16.09,0.53,0.52,0.66,0.54,0.48,0.89,0.92,2.05,0.8,0.96,1.0,0.93,1.13,0.47,1.0
f_1,1.33,16.61,0.45,0.48,0.39,0.42,0.82,0.71,0.8,0.68,0.43,0.89,0.91,0.92,0.45,0.78
d_1,0.4,0.6,21.61,0.44,0.49,0.66,0.9,0.87,0.29,2.5,0.82,1.04,0.87,0.91,1.12,0.9
c_1,0.43,0.51,0.52,20.76,1.24,0.43,0.9,0.73,0.82,0.24,0.83,0.67,0.94,0.71,0.88,0.93
b_1,0.48,0.49,0.47,0.55,21.78,1.17,0.91,0.94,0.89,0.87,1.07,0.35,0.88,0.69,1.07,0.84
a_1,0.51,0.59,0.56,0.56,0.46,33.31,0.68,0.74,0.85,0.96,0.89,1.11,1.36,0.59,0.87,1.06
h_1,0.53,0.98,0.87,0.52,0.62,0.63,5.44,1.66,0.89,1.15,1.17,1.07,0.67,1.32,1.28,1.33
g_1,0.54,0.55,1.42,0.62,0.51,0.63,0.97,6.84,0.8,1.07,2.16,1.35,1.18,1.19,1.43,0.66
d_0,0.52,0.72,0.26,1.98,0.77,0.69,1.05,1.18,3.56,0.8,1.3,1.39,1.03,0.96,1.28,1.2
c_0,0.58,0.83,0.8,0.3,0.56,0.78,1.27,1.34,1.11,3.58,1.36,3.25,1.27,1.35,1.84,1.49
f_0,0.5,0.39,0.91,0.75,0.73,0.56,1.18,1.22,1.16,1.32,4.39,1.33,1.65,1.47,3.85,1.37
b_0,0.63,0.82,0.79,0.76,0.28,0.52,1.15,1.05,1.2,0.93,1.61,3.88,1.34,2.58,1.48,1.87
h_0,0.63,1.17,0.73,0.84,0.66,0.48,0.74,1.52,1.01,0.93,1.13,1.35,0.64,1.21,1.35,1.85
a_0,0.62,0.83,0.89,0.66,0.64,0.26,1.43,1.06,0.97,1.2,1.65,1.11,2.02,5.0,1.47,1.4
e_0,0.31,0.76,0.73,0.91,0.73,0.87,1.19,1.24,1.21,1.18,1.13,1.23,1.37,0.97,5.36,1.55
g_0,0.55,0.52,1.39,0.74,0.76,0.58,1.24,0.78,0.93,0.97,2.23,1.14,1.37,1.15,1.46,0.93
